"","LC","LC7_text","1990","2014","2018","2020","2022"
"1","1","Natural",0.809293758038075,0.789681105971977,0.780257651331925,0.778051802267433,0.776533871841376
"2","2","Secondary-natural",0.0295855266785393,0.041416101981263,0.0580322380079227,0.0574221287317455,0.0570171455965388
"3","3","Artificial-waterbody",0.00461558266596894,0.00492680522902304,0.00303360423926339,0.00292977873146218,0.00382149400810634
"4","4","Built-up",0.0224143150482174,0.0226365990269769,0.0287686134047272,0.028943015701058,0.0288841978298941
"5","5","Cropland",0.116075883443258,0.123507771849235,0.110621909190371,0.113366918521091,0.113973162925527
"6","6","Mine",0.00232388511589057,0.00258750658020084,0.00244267141706989,0.00235848968970396,0.00208158843679751
"7","7","Plantation",0.0156910490100516,0.0152441093613245,0.016843312408721,0.0169278663575062,0.0176885393617603
