"","LC","T_MAPCODE","NMB","n","km2"
"3520","6","AT50","4",120,0.048
"3521","7","AT50","4",0,0
"3522","1","AT51","4",141942,56.7768
"3523","2","AT51","4",32202,12.8808
"3524","3","AT51","4",2701,1.0804
"3525","4","AT51","4",121945,48.778
"3526","5","AT51","4",40080,16.032
"3527","6","AT51","4",4286,1.7144
"3528","7","AT51","4",755,0.302
"3529","1","AT52","4",0,0
"3530","2","AT52","4",0,0
"3531","3","AT52","4",0,0
"3532","4","AT52","4",0,0
"3533","5","AT52","4",0,0
"3534","6","AT52","4",0,0
"3535","7","AT52","4",0,0
"3536","1","AT53","4",0,0
"3537","2","AT53","4",0,0
"3538","3","AT53","4",0,0
"3539","4","AT53","4",0,0
"3540","5","AT53","4",0,0
"3541","6","AT53","4",0,0
"3542","7","AT53","4",0,0
"3543","1","AT54","4",490,0.196
"3544","2","AT54","4",504,0.2016
"3545","3","AT54","4",718,0.2872
"3546","4","AT54","4",9,0.0036
"3547","5","AT54","4",1,0.0004
"3548","6","AT54","4",0,0
"3549","7","AT54","4",0,0
"3550","1","AT55","4",0,0
"3551","2","AT55","4",0,0
"3552","3","AT55","4",0,0
"3553","4","AT55","4",0,0
"3554","5","AT55","4",0,0
"3555","6","AT55","4",0,0
"3556","7","AT55","4",0,0
"3557","1","AT56","4",0,0
"3558","2","AT56","4",0,0
"3559","3","AT56","4",0,0
"3560","4","AT56","4",0,0
"3561","5","AT56","4",0,0
"3562","6","AT56","4",0,0
"3563","7","AT56","4",0,0
"3564","1","AT57","4",51452,20.5808
"3565","2","AT57","4",14208,5.6832
"3566","3","AT57","4",6165,2.466
"3567","4","AT57","4",24279,9.7116
"3568","5","AT57","4",15590,6.236
"3569","6","AT57","4",654,0.2616
"3570","7","AT57","4",167,0.0668
"3571","1","AT58","4",0,0
"3572","2","AT58","4",0,0
"3573","3","AT58","4",0,0
"3574","4","AT58","4",0,0
"3575","5","AT58","4",0,0
"3576","6","AT58","4",0,0
"3577","7","AT58","4",0,0
"3578","1","AZa1","4",0,0
"3579","2","AZa1","4",0,0
"3580","3","AZa1","4",0,0
"3581","4","AZa1","4",0,0
"3582","5","AZa1","4",0,0
"3583","6","AZa1","4",0,0
"3584","7","AZa1","4",0,0
"3585","1","AZa2","4",0,0
"3586","2","AZa2","4",0,0
"3587","3","AZa2","4",0,0
"3588","4","AZa2","4",0,0
"3589","5","AZa2","4",0,0
"3590","6","AZa2","4",0,0
"3591","7","AZa2","4",0,0
"3592","1","AZa3","4",0,0
"3593","2","AZa3","4",0,0
"3594","3","AZa3","4",0,0
"3595","4","AZa3","4",0,0
"3596","5","AZa3","4",0,0
"3597","6","AZa3","4",0,0
"3598","7","AZa3","4",0,0
"3599","1","AZa4","4",0,0
"3600","2","AZa4","4",0,0
"3601","3","AZa4","4",0,0
"3602","4","AZa4","4",0,0
"3603","5","AZa4","4",0,0
"3604","6","AZa4","4",0,0
"3605","7","AZa4","4",0,0
"3606","1","AZa5","4",0,0
"3607","2","AZa5","4",0,0
"3608","3","AZa5","4",0,0
"3609","4","AZa5","4",0,0
"3610","5","AZa5","4",0,0
"3611","6","AZa5","4",0,0
"3612","7","AZa5","4",0,0
"3613","1","AZa6","4",40384,16.1536
"3614","2","AZa6","4",21895,8.758
"3615","3","AZa6","4",9987,3.9948
"3616","4","AZa6","4",45349,18.1396
"3617","5","AZa6","4",13884,5.5536
"3618","6","AZa6","4",1067,0.4268
"3619","7","AZa6","4",54,0.0216
"3620","1","AZa7","4",0,0
"3621","2","AZa7","4",0,0
"3622","3","AZa7","4",0,0
"3623","4","AZa7","4",0,0
"3624","5","AZa7","4",0,0
"3625","6","AZa7","4",0,0
"3626","7","AZa7","4",0,0
"3627","1","AZd1","4",0,0
"3628","2","AZd1","4",0,0
"3629","3","AZd1","4",0,0
"3630","4","AZd1","4",0,0
"3631","5","AZd1","4",0,0
"3632","6","AZd1","4",0,0
"3633","7","AZd1","4",0,0
"3634","1","AZd2","4",0,0
"3635","2","AZd2","4",0,0
"3636","3","AZd2","4",0,0
"3637","4","AZd2","4",0,0
"3638","5","AZd2","4",0,0
"3639","6","AZd2","4",0,0
"3640","7","AZd2","4",0,0
"3641","1","AZd3","4",875,0.35
"3642","2","AZd3","4",224,0.0896
"3643","3","AZd3","4",0,0
"3644","4","AZd3","4",861,0.3444
"3645","5","AZd3","4",0,0
"3646","6","AZd3","4",2,0.0008
"3647","7","AZd3","4",0,0
"3648","1","AZd4","4",0,0
"3649","2","AZd4","4",0,0
"3650","3","AZd4","4",0,0
"3651","4","AZd4","4",0,0
"3652","5","AZd4","4",0,0
"3653","6","AZd4","4",0,0
"3654","7","AZd4","4",0,0
"3655","1","AZi1","4",0,0
"3656","2","AZi1","4",0,0
"3657","3","AZi1","4",0,0
"3658","4","AZi1","4",0,0
"3659","5","AZi1","4",0,0
"3660","6","AZi1","4",0,0
"3661","7","AZi1","4",0,0
"3662","1","AZi3","4",0,0
"3663","2","AZi3","4",0,0
"3664","3","AZi3","4",0,0
"3665","4","AZi3","4",0,0
"3666","5","AZi3","4",0,0
"3667","6","AZi3","4",0,0
"3668","7","AZi3","4",0,0
"3669","1","AZi5","4",0,0
"3670","2","AZi5","4",0,0
"3671","3","AZi5","4",0,0
"3672","4","AZi5","4",0,0
"3673","5","AZi5","4",0,0
"3674","6","AZi5","4",0,0
"3675","7","AZi5","4",0,0
"3676","1","AZi6","4",0,0
"3677","2","AZi6","4",0,0
"3678","3","AZi6","4",0,0
"3679","4","AZi6","4",0,0
"3680","5","AZi6","4",0,0
"3681","6","AZi6","4",0,0
"3682","7","AZi6","4",0,0
"3683","1","AZi7","4",0,0
"3684","2","AZi7","4",0,0
"3685","3","AZi7","4",0,0
"3686","4","AZi7","4",0,0
"3687","5","AZi7","4",0,0
"3688","6","AZi7","4",0,0
"3689","7","AZi7","4",0,0
"3690","1","AZi8","4",0,0
"3691","2","AZi8","4",0,0
"3692","3","AZi8","4",0,0
"3693","4","AZi8","4",0,0
"3694","5","AZi8","4",0,0
"3695","6","AZi8","4",0,0
"3696","7","AZi8","4",0,0
"3697","1","AZs3","4",0,0
"3698","2","AZs3","4",0,0
"3699","3","AZs3","4",0,0
"3700","4","AZs3","4",0,0
"3701","5","AZs3","4",0,0
"3702","6","AZs3","4",0,0
"3703","7","AZs3","4",0,0
"3704","1","CB1","4",0,0
"3705","2","CB1","4",0,0
"3706","3","CB1","4",0,0
"3707","4","CB1","4",0,0
"3708","5","CB1","4",0,0
"3709","6","CB1","4",0,0
"3710","7","CB1","4",0,0
"3711","1","CB2","4",0,0
"3712","2","CB2","4",0,0
"3713","3","CB2","4",0,0
"3714","4","CB2","4",0,0
"3715","5","CB2","4",0,0
"3716","6","CB2","4",0,0
"3717","7","CB2","4",0,0
"3718","1","CB3","4",0,0
"3719","2","CB3","4",0,0
"3720","3","CB3","4",0,0
"3721","4","CB3","4",0,0
"3722","5","CB3","4",0,0
"3723","6","CB3","4",0,0
"3724","7","CB3","4",0,0
"3725","1","CB4","4",0,0
"3726","2","CB4","4",0,0
"3727","3","CB4","4",0,0
"3728","4","CB4","4",0,0
"3729","5","CB4","4",0,0
"3730","6","CB4","4",0,0
"3731","7","CB4","4",0,0
"3732","1","CB5","4",0,0
"3733","2","CB5","4",0,0
"3734","3","CB5","4",0,0
"3735","4","CB5","4",0,0
"3736","5","CB5","4",0,0
"3737","6","CB5","4",0,0
"3738","7","CB5","4",0,0
"3739","1","CB6","4",0,0
"3740","2","CB6","4",0,0
"3741","3","CB6","4",0,0
"3742","4","CB6","4",0,0
"3743","5","CB6","4",0,0
"3744","6","CB6","4",0,0
"3745","7","CB6","4",0,0
"3746","1","Dg1","4",0,0
"3747","2","Dg1","4",0,0
"3748","3","Dg1","4",0,0
"3749","4","Dg1","4",0,0
"3750","5","Dg1","4",0,0
"3751","6","Dg1","4",0,0
"3752","7","Dg1","4",0,0
"3753","1","Dg10","4",0,0
"3754","2","Dg10","4",0,0
"3755","3","Dg10","4",0,0
"3756","4","Dg10","4",0,0
"3757","5","Dg10","4",0,0
"3758","6","Dg10","4",0,0
"3759","7","Dg10","4",0,0
"3760","1","Dg2","4",0,0
"3761","2","Dg2","4",0,0
"3762","3","Dg2","4",0,0
"3763","4","Dg2","4",0,0
"3764","5","Dg2","4",0,0
"3765","6","Dg2","4",0,0
"3766","7","Dg2","4",0,0
"3767","1","Dg3","4",0,0
"3768","2","Dg3","4",0,0
"3769","3","Dg3","4",0,0
"3770","4","Dg3","4",0,0
"3771","5","Dg3","4",0,0
"3772","6","Dg3","4",0,0
"3773","7","Dg3","4",0,0
"3774","1","Dg4","4",0,0
"3775","2","Dg4","4",0,0
"3776","3","Dg4","4",0,0
"3777","4","Dg4","4",0,0
"3778","5","Dg4","4",0,0
"3779","6","Dg4","4",0,0
"3780","7","Dg4","4",0,0
"3781","1","Dg5","4",0,0
"3782","2","Dg5","4",0,0
"3783","3","Dg5","4",0,0
"3784","4","Dg5","4",0,0
"3785","5","Dg5","4",0,0
"3786","6","Dg5","4",0,0
"3787","7","Dg5","4",0,0
"3788","1","Dg6","4",0,0
"3789","2","Dg6","4",0,0
"3790","3","Dg6","4",0,0
"3791","4","Dg6","4",0,0
"3792","5","Dg6","4",0,0
"3793","6","Dg6","4",0,0
"3794","7","Dg6","4",0,0
"3795","1","Dg7","4",0,0
"3796","2","Dg7","4",0,0
"3797","3","Dg7","4",0,0
"3798","4","Dg7","4",0,0
"3799","5","Dg7","4",0,0
"3800","6","Dg7","4",0,0
"3801","7","Dg7","4",0,0
"3802","1","Dg8","4",0,0
"3803","2","Dg8","4",0,0
"3804","3","Dg8","4",0,0
"3805","4","Dg8","4",0,0
"3806","5","Dg8","4",0,0
"3807","6","Dg8","4",0,0
"3808","7","Dg8","4",0,0
"3809","1","Dg9","4",0,0
"3810","2","Dg9","4",0,0
"3811","3","Dg9","4",0,0
"3812","4","Dg9","4",0,0
"3813","5","Dg9","4",0,0
"3814","6","Dg9","4",0,0
"3815","7","Dg9","4",0,0
"3816","1","Dn1","4",0,0
"3817","2","Dn1","4",0,0
"3818","3","Dn1","4",0,0
"3819","4","Dn1","4",0,0
"3820","5","Dn1","4",0,0
"3821","6","Dn1","4",0,0
"3822","7","Dn1","4",0,0
"3823","1","Dn2","4",0,0
"3824","2","Dn2","4",0,0
"3825","3","Dn2","4",0,0
"3826","4","Dn2","4",0,0
"3827","5","Dn2","4",0,0
"3828","6","Dn2","4",0,0
"3829","7","Dn2","4",0,0
"3830","1","Dn3","4",0,0
"3831","2","Dn3","4",0,0
"3832","3","Dn3","4",0,0
"3833","4","Dn3","4",0,0
"3834","5","Dn3","4",0,0
"3835","6","Dn3","4",0,0
"3836","7","Dn3","4",0,0
"3837","1","Dn4","4",0,0
"3838","2","Dn4","4",0,0
"3839","3","Dn4","4",0,0
"3840","4","Dn4","4",0,0
"3841","5","Dn4","4",0,0
"3842","6","Dn4","4",0,0
"3843","7","Dn4","4",0,0
"3844","1","Dn5","4",0,0
"3845","2","Dn5","4",0,0
"3846","3","Dn5","4",0,0
"3847","4","Dn5","4",0,0
"3848","5","Dn5","4",0,0
"3849","6","Dn5","4",0,0
"3850","7","Dn5","4",0,0
"3851","1","FFa1","4",0,0
"3852","2","FFa1","4",0,0
"3853","3","FFa1","4",0,0
"3854","4","FFa1","4",0,0
"3855","5","FFa1","4",0,0
"3856","6","FFa1","4",0,0
"3857","7","FFa1","4",0,0
"3858","1","FFa2","4",0,0
"3859","2","FFa2","4",0,0
"3860","3","FFa2","4",0,0
"3861","4","FFa2","4",0,0
"3862","5","FFa2","4",0,0
"3863","6","FFa2","4",0,0
"3864","7","FFa2","4",0,0
"3865","1","FFa3","4",0,0
"3866","2","FFa3","4",0,0
"3867","3","FFa3","4",0,0
"3868","4","FFa3","4",0,0
"3869","5","FFa3","4",0,0
"3870","6","FFa3","4",0,0
"3871","7","FFa3","4",0,0
"3872","1","FFa4","4",0,0
"3873","2","FFa4","4",0,0
"3874","3","FFa4","4",0,0
"3875","4","FFa4","4",0,0
"3876","5","FFa4","4",0,0
"3877","6","FFa4","4",0,0
"3878","7","FFa4","4",0,0
"3879","1","FFb1","4",0,0
"3880","2","FFb1","4",0,0
"3881","3","FFb1","4",0,0
"3882","4","FFb1","4",0,0
"3883","5","FFb1","4",0,0
"3884","6","FFb1","4",0,0
"3885","7","FFb1","4",0,0
"3886","1","FFb2","4",0,0
"3887","2","FFb2","4",0,0
"3888","3","FFb2","4",0,0
"3889","4","FFb2","4",0,0
"3890","5","FFb2","4",0,0
"3891","6","FFb2","4",0,0
"3892","7","FFb2","4",0,0
"3893","1","FFb3","4",0,0
"3894","2","FFb3","4",0,0
"3895","3","FFb3","4",0,0
"3896","4","FFb3","4",0,0
"3897","5","FFb3","4",0,0
"3898","6","FFb3","4",0,0
"3899","7","FFb3","4",0,0
"3900","1","FFb4","4",0,0
"3901","2","FFb4","4",0,0
"3902","3","FFb4","4",0,0
"3903","4","FFb4","4",0,0
"3904","5","FFb4","4",0,0
"3905","6","FFb4","4",0,0
"3906","7","FFb4","4",0,0
"3907","1","FFb5","4",0,0
"3908","2","FFb5","4",0,0
"3909","3","FFb5","4",0,0
"3910","4","FFb5","4",0,0
"3911","5","FFb5","4",0,0
"3912","6","FFb5","4",0,0
"3913","7","FFb5","4",0,0
"3914","1","FFb6","4",0,0
"3915","2","FFb6","4",0,0
"3916","3","FFb6","4",0,0
"3917","4","FFb6","4",0,0
"3918","5","FFb6","4",0,0
"3919","6","FFb6","4",0,0
"3920","7","FFb6","4",0,0
"3921","1","FFc1","4",0,0
"3922","2","FFc1","4",0,0
"3923","3","FFc1","4",0,0
"3924","4","FFc1","4",0,0
"3925","5","FFc1","4",0,0
"3926","6","FFc1","4",0,0
"3927","7","FFc1","4",0,0
"3928","1","FFd1","4",0,0
"3929","2","FFd1","4",0,0
"3930","3","FFd1","4",0,0
"3931","4","FFd1","4",0,0
"3932","5","FFd1","4",0,0
"3933","6","FFd1","4",0,0
"3934","7","FFd1","4",0,0
"3935","1","FFd10","4",0,0
"3936","2","FFd10","4",0,0
"3937","3","FFd10","4",0,0
"3938","4","FFd10","4",0,0
"3939","5","FFd10","4",0,0
"3940","6","FFd10","4",0,0
"3941","7","FFd10","4",0,0
"3942","1","FFd11","4",0,0
"3943","2","FFd11","4",0,0
"3944","3","FFd11","4",0,0
"3945","4","FFd11","4",0,0
"3946","5","FFd11","4",0,0
"3947","6","FFd11","4",0,0
"3948","7","FFd11","4",0,0
"3949","1","FFd2","4",0,0
"3950","2","FFd2","4",0,0
"3951","3","FFd2","4",0,0
"3952","4","FFd2","4",0,0
"3953","5","FFd2","4",0,0
"3954","6","FFd2","4",0,0
"3955","7","FFd2","4",0,0
"3956","1","FFd3","4",0,0
"3957","2","FFd3","4",0,0
"3958","3","FFd3","4",0,0
"3959","4","FFd3","4",0,0
"3960","5","FFd3","4",0,0
"3961","6","FFd3","4",0,0
"3962","7","FFd3","4",0,0
"3963","1","FFd4","4",0,0
"3964","2","FFd4","4",0,0
"3965","3","FFd4","4",0,0
"3966","4","FFd4","4",0,0
"3967","5","FFd4","4",0,0
"3968","6","FFd4","4",0,0
"3969","7","FFd4","4",0,0
"3970","1","FFd5","4",0,0
"3971","2","FFd5","4",0,0
"3972","3","FFd5","4",0,0
"3973","4","FFd5","4",0,0
"3974","5","FFd5","4",0,0
"3975","6","FFd5","4",0,0
"3976","7","FFd5","4",0,0
"3977","1","FFd6","4",0,0
"3978","2","FFd6","4",0,0
"3979","3","FFd6","4",0,0
"3980","4","FFd6","4",0,0
"3981","5","FFd6","4",0,0
"3982","6","FFd6","4",0,0
"3983","7","FFd6","4",0,0
"3984","1","FFd7","4",0,0
"3985","2","FFd7","4",0,0
"3986","3","FFd7","4",0,0
"3987","4","FFd7","4",0,0
"3988","5","FFd7","4",0,0
"3989","6","FFd7","4",0,0
"3990","7","FFd7","4",0,0
"3991","1","FFd8","4",0,0
"3992","2","FFd8","4",0,0
"3993","3","FFd8","4",0,0
"3994","4","FFd8","4",0,0
"3995","5","FFd8","4",0,0
"3996","6","FFd8","4",0,0
"3997","7","FFd8","4",0,0
"3998","1","FFd9","4",0,0
"3999","2","FFd9","4",0,0
"4000","3","FFd9","4",0,0
"4001","4","FFd9","4",0,0
"4002","5","FFd9","4",0,0
"4003","6","FFd9","4",0,0
"4004","7","FFd9","4",0,0
"4005","1","FFf1","4",0,0
"4006","2","FFf1","4",0,0
"4007","3","FFf1","4",0,0
"4008","4","FFf1","4",0,0
"4009","5","FFf1","4",0,0
"4010","6","FFf1","4",0,0
"4011","7","FFf1","4",0,0
"4012","1","FFf2","4",0,0
"4013","2","FFf2","4",0,0
"4014","3","FFf2","4",0,0
"4015","4","FFf2","4",0,0
"4016","5","FFf2","4",0,0
"4017","6","FFf2","4",0,0
"4018","7","FFf2","4",0,0
"4019","1","FFg1","4",0,0
"4020","2","FFg1","4",0,0
"4021","3","FFg1","4",0,0
"4022","4","FFg1","4",0,0
"4023","5","FFg1","4",0,0
"4024","6","FFg1","4",0,0
"4025","7","FFg1","4",0,0
"4026","1","FFg2","4",0,0
"4027","2","FFg2","4",0,0
"4028","3","FFg2","4",0,0
"4029","4","FFg2","4",0,0
"4030","5","FFg2","4",0,0
"4031","6","FFg2","4",0,0
"4032","7","FFg2","4",0,0
"4033","1","FFg3","4",0,0
"4034","2","FFg3","4",0,0
"4035","3","FFg3","4",0,0
"4036","4","FFg3","4",0,0
"4037","5","FFg3","4",0,0
"4038","6","FFg3","4",0,0
"4039","7","FFg3","4",0,0
"4040","1","FFg4","4",0,0
"4041","2","FFg4","4",0,0
"4042","3","FFg4","4",0,0
"4043","4","FFg4","4",0,0
"4044","5","FFg4","4",0,0
"4045","6","FFg4","4",0,0
"4046","7","FFg4","4",0,0
"4047","1","FFg5","4",0,0
"4048","2","FFg5","4",0,0
"4049","3","FFg5","4",0,0
"4050","4","FFg5","4",0,0
"4051","5","FFg5","4",0,0
"4052","6","FFg5","4",0,0
"4053","7","FFg5","4",0,0
"4054","1","FFh1","4",0,0
"4055","2","FFh1","4",0,0
"4056","3","FFh1","4",0,0
"4057","4","FFh1","4",0,0
"4058","5","FFh1","4",0,0
"4059","6","FFh1","4",0,0
"4060","7","FFh1","4",0,0
"4061","1","FFh10","4",0,0
"4062","2","FFh10","4",0,0
"4063","3","FFh10","4",0,0
"4064","4","FFh10","4",0,0
"4065","5","FFh10","4",0,0
"4066","6","FFh10","4",0,0
"4067","7","FFh10","4",0,0
"4068","1","FFh11","4",0,0
"4069","2","FFh11","4",0,0
"4070","3","FFh11","4",0,0
"4071","4","FFh11","4",0,0
"4072","5","FFh11","4",0,0
"4073","6","FFh11","4",0,0
"4074","7","FFh11","4",0,0
"4075","1","FFh2","4",0,0
"4076","2","FFh2","4",0,0
"4077","3","FFh2","4",0,0
"4078","4","FFh2","4",0,0
"4079","5","FFh2","4",0,0
"4080","6","FFh2","4",0,0
"4081","7","FFh2","4",0,0
"4082","1","FFh3","4",0,0
"4083","2","FFh3","4",0,0
"4084","3","FFh3","4",0,0
"4085","4","FFh3","4",0,0
"4086","5","FFh3","4",0,0
"4087","6","FFh3","4",0,0
"4088","7","FFh3","4",0,0
"4089","1","FFh4","4",0,0
"4090","2","FFh4","4",0,0
"4091","3","FFh4","4",0,0
"4092","4","FFh4","4",0,0
"4093","5","FFh4","4",0,0
"4094","6","FFh4","4",0,0
"4095","7","FFh4","4",0,0
"4096","1","FFh5","4",0,0
"4097","2","FFh5","4",0,0
"4098","3","FFh5","4",0,0
"4099","4","FFh5","4",0,0
"4100","5","FFh5","4",0,0
"4101","6","FFh5","4",0,0
"4102","7","FFh5","4",0,0
"4103","1","FFh6","4",0,0
"4104","2","FFh6","4",0,0
"4105","3","FFh6","4",0,0
"4106","4","FFh6","4",0,0
"4107","5","FFh6","4",0,0
"4108","6","FFh6","4",0,0
"4109","7","FFh6","4",0,0
"4110","1","FFh7","4",0,0
"4111","2","FFh7","4",0,0
"4112","3","FFh7","4",0,0
"4113","4","FFh7","4",0,0
"4114","5","FFh7","4",0,0
"4115","6","FFh7","4",0,0
"4116","7","FFh7","4",0,0
"4117","1","FFh8","4",0,0
"4118","2","FFh8","4",0,0
"4119","3","FFh8","4",0,0
"4120","4","FFh8","4",0,0
"4121","5","FFh8","4",0,0
"4122","6","FFh8","4",0,0
"4123","7","FFh8","4",0,0
"4124","1","FFh9","4",0,0
"4125","2","FFh9","4",0,0
"4126","3","FFh9","4",0,0
"4127","4","FFh9","4",0,0
"4128","5","FFh9","4",0,0
"4129","6","FFh9","4",0,0
"4130","7","FFh9","4",0,0
"4131","1","FFl1","4",0,0
"4132","2","FFl1","4",0,0
"4133","3","FFl1","4",0,0
"4134","4","FFl1","4",0,0
"4135","5","FFl1","4",0,0
"4136","6","FFl1","4",0,0
"4137","7","FFl1","4",0,0
"4138","1","FFl2","4",0,0
"4139","2","FFl2","4",0,0
"4140","3","FFl2","4",0,0
"4141","4","FFl2","4",0,0
"4142","5","FFl2","4",0,0
"4143","6","FFl2","4",0,0
"4144","7","FFl2","4",0,0
"4145","1","FFl3","4",0,0
"4146","2","FFl3","4",0,0
"4147","3","FFl3","4",0,0
"4148","4","FFl3","4",0,0
"4149","5","FFl3","4",0,0
"4150","6","FFl3","4",0,0
"4151","7","FFl3","4",0,0
"4152","1","FFq1","4",0,0
"4153","2","FFq1","4",0,0
"4154","3","FFq1","4",0,0
"4155","4","FFq1","4",0,0
"4156","5","FFq1","4",0,0
"4157","6","FFq1","4",0,0
"4158","7","FFq1","4",0,0
"4159","1","FFq2","4",0,0
"4160","2","FFq2","4",0,0
"4161","3","FFq2","4",0,0
"4162","4","FFq2","4",0,0
"4163","5","FFq2","4",0,0
"4164","6","FFq2","4",0,0
"4165","7","FFq2","4",0,0
"4166","1","FFq3","4",0,0
"4167","2","FFq3","4",0,0
"4168","3","FFq3","4",0,0
"4169","4","FFq3","4",0,0
"4170","5","FFq3","4",0,0
"4171","6","FFq3","4",0,0
"4172","7","FFq3","4",0,0
"4173","1","FFq4","4",0,0
"4174","2","FFq4","4",0,0
"4175","3","FFq4","4",0,0
"4176","4","FFq4","4",0,0
"4177","5","FFq4","4",0,0
"4178","6","FFq4","4",0,0
"4179","7","FFq4","4",0,0
"4180","1","FFq5","4",0,0
"4181","2","FFq5","4",0,0
"4182","3","FFq5","4",0,0
"4183","4","FFq5","4",0,0
"4184","5","FFq5","4",0,0
"4185","6","FFq5","4",0,0
"4186","7","FFq5","4",0,0
"4187","1","FFq6","4",0,0
"4188","2","FFq6","4",0,0
"4189","3","FFq6","4",0,0
"4190","4","FFq6","4",0,0
"4191","5","FFq6","4",0,0
"4192","6","FFq6","4",0,0
"4193","7","FFq6","4",0,0
"4194","1","FFs1","4",0,0
"4195","2","FFs1","4",0,0
"4196","3","FFs1","4",0,0
"4197","4","FFs1","4",0,0
"4198","5","FFs1","4",0,0
"4199","6","FFs1","4",0,0
"4200","7","FFs1","4",0,0
"4201","1","FFs10","4",0,0
"4202","2","FFs10","4",0,0
"4203","3","FFs10","4",0,0
"4204","4","FFs10","4",0,0
"4205","5","FFs10","4",0,0
"4206","6","FFs10","4",0,0
"4207","7","FFs10","4",0,0
"4208","1","FFs11","4",0,0
"4209","2","FFs11","4",0,0
"4210","3","FFs11","4",0,0
"4211","4","FFs11","4",0,0
"4212","5","FFs11","4",0,0
"4213","6","FFs11","4",0,0
"4214","7","FFs11","4",0,0
"4215","1","FFs12","4",0,0
"4216","2","FFs12","4",0,0
"4217","3","FFs12","4",0,0
"4218","4","FFs12","4",0,0
"4219","5","FFs12","4",0,0
"4220","6","FFs12","4",0,0
"4221","7","FFs12","4",0,0
"4222","1","FFs13","4",0,0
"4223","2","FFs13","4",0,0
"4224","3","FFs13","4",0,0
"4225","4","FFs13","4",0,0
"4226","5","FFs13","4",0,0
"4227","6","FFs13","4",0,0
"4228","7","FFs13","4",0,0
"4229","1","FFs14","4",0,0
"4230","2","FFs14","4",0,0
"4231","3","FFs14","4",0,0
"4232","4","FFs14","4",0,0
"4233","5","FFs14","4",0,0
"4234","6","FFs14","4",0,0
"4235","7","FFs14","4",0,0
"4236","1","FFs15","4",0,0
"4237","2","FFs15","4",0,0
"4238","3","FFs15","4",0,0
"4239","4","FFs15","4",0,0
"4240","5","FFs15","4",0,0
"4241","6","FFs15","4",0,0
"4242","7","FFs15","4",0,0
"4243","1","FFs16","4",0,0
"4244","2","FFs16","4",0,0
"4245","3","FFs16","4",0,0
"4246","4","FFs16","4",0,0
"4247","5","FFs16","4",0,0
"4248","6","FFs16","4",0,0
"4249","7","FFs16","4",0,0
"4250","1","FFs17","4",0,0
"4251","2","FFs17","4",0,0
"4252","3","FFs17","4",0,0
"4253","4","FFs17","4",0,0
"4254","5","FFs17","4",0,0
"4255","6","FFs17","4",0,0
"4256","7","FFs17","4",0,0
"4257","1","FFs18","4",0,0
"4258","2","FFs18","4",0,0
"4259","3","FFs18","4",0,0
"4260","4","FFs18","4",0,0
"4261","5","FFs18","4",0,0
"4262","6","FFs18","4",0,0
"4263","7","FFs18","4",0,0
"4264","1","FFs19","4",0,0
"4265","2","FFs19","4",0,0
"4266","3","FFs19","4",0,0
"4267","4","FFs19","4",0,0
"4268","5","FFs19","4",0,0
"4269","6","FFs19","4",0,0
"4270","7","FFs19","4",0,0
"4271","1","FFs2","4",0,0
"4272","2","FFs2","4",0,0
"4273","3","FFs2","4",0,0
"4274","4","FFs2","4",0,0
"4275","5","FFs2","4",0,0
"4276","6","FFs2","4",0,0
"4277","7","FFs2","4",0,0
"4278","1","FFs20","4",0,0
"4279","2","FFs20","4",0,0
"4280","3","FFs20","4",0,0
"4281","4","FFs20","4",0,0
"4282","5","FFs20","4",0,0
"4283","6","FFs20","4",0,0
"4284","7","FFs20","4",0,0
"4285","1","FFs21","4",0,0
"4286","2","FFs21","4",0,0
"4287","3","FFs21","4",0,0
"4288","4","FFs21","4",0,0
"4289","5","FFs21","4",0,0
"4290","6","FFs21","4",0,0
"4291","7","FFs21","4",0,0
"4292","1","FFs22","4",0,0
"4293","2","FFs22","4",0,0
"4294","3","FFs22","4",0,0
"4295","4","FFs22","4",0,0
"4296","5","FFs22","4",0,0
"4297","6","FFs22","4",0,0
"4298","7","FFs22","4",0,0
"4299","1","FFs23","4",0,0
"4300","2","FFs23","4",0,0
"4301","3","FFs23","4",0,0
"4302","4","FFs23","4",0,0
"4303","5","FFs23","4",0,0
"4304","6","FFs23","4",0,0
"4305","7","FFs23","4",0,0
"4306","1","FFs24","4",0,0
"4307","2","FFs24","4",0,0
"4308","3","FFs24","4",0,0
"4309","4","FFs24","4",0,0
"4310","5","FFs24","4",0,0
"4311","6","FFs24","4",0,0
"4312","7","FFs24","4",0,0
"4313","1","FFs25","4",0,0
"4314","2","FFs25","4",0,0
"4315","3","FFs25","4",0,0
"4316","4","FFs25","4",0,0
"4317","5","FFs25","4",0,0
"4318","6","FFs25","4",0,0
"4319","7","FFs25","4",0,0
"4320","1","FFs26","4",0,0
"4321","2","FFs26","4",0,0
"4322","3","FFs26","4",0,0
"4323","4","FFs26","4",0,0
"4324","5","FFs26","4",0,0
"4325","6","FFs26","4",0,0
"4326","7","FFs26","4",0,0
"4327","1","FFs27","4",6257,2.5028
"4328","2","FFs27","4",1434,0.5736
"4329","3","FFs27","4",0,0
"4330","4","FFs27","4",759,0.3036
"4331","5","FFs27","4",169,0.0676
"4332","6","FFs27","4",0,0
"4333","7","FFs27","4",8712,3.4848
"4334","1","FFs28","4",14556,5.8224
"4335","2","FFs28","4",10353,4.1412
"4336","3","FFs28","4",48,0.0192
"4337","4","FFs28","4",13811,5.5244
"4338","5","FFs28","4",14350,5.74
