"","1","2","3","4","5","6","7"
"1",946234.5768,608.2888,450.7888,933.1428,1660.33,172.5044,719.9024
"2",0.3428,64419.776,625.3284,415.2464,4236.538,175.0736,883.352
"3",0.842,221.6644,3432.286,3.4492,5.8368,24.2876,2.86
"4",0.0276,1364.5176,7.9088,33525.2848,85.0672,18.654,69.7508
"5",0.4656,1619.8092,67.2728,274.7508,132871.2704,66.6308,11.6384
"6",2.7268,758.3892,59.9284,40.3196,40.4676,2065.3576,8.5444
"7",0.3488,523.6156,9.47,20.1888,99.576,11.9316,19878.394
