"","T_MAPCODE","deg80","nat","notnat","prcdeg_step","prplost","D3_step","ext_step"
"185","FRg1",0,252.8504,52.6752,0,0.172408465935424,"LC",0
"186","FRg2",0,154.0544,797.232,0,0.838056761875288,"LC",0
"187","FRg3",0,18.8252,0.3464,0,0.0180683928310626,"LC",0
"188","FRl1",0.0184,501.666,0,0,0,"LC",1
"189","FRs1",0,196.0692,11.2412,0,0.0542240041985351,"LC",0
"190","FRs10",0,2.528,22.7524,0,0.900001582253445,"LC",0
"191","FRs11",0,153.2528,1040.412,0,0.871611527792392,"LC",0
"192","FRs12",0,195.594,1831.9028,0,0.903529317530859,"LC",0
"193","FRs13",0,829.7608,1932.7324,0,0.699633360183475,"LC",0.188596156544385
"194","FRs14",0.3588,866.1508,0.012,0,1.3848471867291e-05,"LC",1
"195","FRs15",0.0512,276.3408,0,0,0,"LC",1
"196","FRs16",0.1036,1347.6672,0,0,0,"LC",1
"197","FRs17",0,207.16,0,0,0,"LC",1
"198","FRs18",0.1156,118.606,0,0,0,"LC",1
"199","FRs19",0.2384,372.9508,0.0024,0,6.43101291668944e-06,"LC",1
"200","FRs2",0,104.3336,114.4816,0,0.523188517068284,"LC",0
"201","FRs20",0,11.4056,35.568,0,0.75719127339612,"LC",0
"202","FRs3",0,3148.3892,69.0672,0,0.021466398114983,"LC",0
"203","FRs4",0,211.3236,280.428,0,0.570263523291027,"LC",0
"204","FRs5",0,1199.0472,37.4068,0,0.0302532888405068,"LC",0
"205","FRs6",0.036,1817.2124,278.5952,0,0.132927476076936,"LC",0.115182449682791
"206","FRs7",0.0184,1395.2012,212.7256,0,0.13229654841471,"LC",0.26164200123238
"207","FRs8",0,616.4332,433.3724,0,0.412812048249695,"LC",0
"208","FRs9",0,485.7452,4478.0244,0,0.902141872177145,"LC",0
"209","FS1",0,235.7652,118.5092,0,0.334512457010724,"LC",0
"210","FS10",0,307.318,15.5592,0,0.0481892186874762,"LC",0.159943161053181
"211","FS11",0,39.4448,0.152,0,0.00383869403588169,"LC",0
"212","FS12",0.4936,118.5752,4e-04,0,3.35939100959778e-06,"LC",1
"213","FS13",0.6688,40.8996,0.0864,2,0.00207419072951977,"LC",0.999865561711976
"214","FS14",2.6176,94.278,0.0624,3,0.000643577631551806,"LC",0.999971121516533
"215","FS2",0,78.3992,220.4612,0,0.737672839894479,"LC",0
"216","FS3",0,580.7604,1062.5928,0,0.646600377812877,"LC",0
"217","FS4",0,49.5512,11.9968,0,0.1949177877429,"LC",0
"218","FS5",0,292.9956,51.3368,0,0.149090820381701,"LC",0
"219","FS6",0,183.3724,215.5592,0,0.54034125148271,"LC",0
"220","FS7",0,37.5364,9.2584,0,0.197851043278313,"LC",0
"221","FS9",0,28.0088,0.0016,0,5.71216405335161e-05,"LC",0.99902893211093
"222","Gd1",1.1656,4992.9452,32.8252,0,0.0065298623256791,"LC",0.892156096675987
"223","Gd10",0,2752.7292,78.068,0,0.0275780970816277,"LC",0
"224","Gd2",0,157.808,0.526,0,0.00332209127540516,"LC",0.864279308297649
"225","Gd3",0,2409.2996,556.96,0,0.187765089744674,"LC",0
"226","Gd4",0,5993.6724,653.3584,0,0.09829327103464,"LC",0
"227","Gd5",0,1116.3004,121.334,0,0.0980370293521253,"LC",0
"228","Gd6",0,21.5628,0.0676,0,0.0031252311561506,"LC",0
"229","Gd7",0,1345.8784,1.0164,0,0.000754624637351039,"LC",0
"230","Gd8",0,17292.7212,2876.6012,0,0.142622599954077,"LC",0
"231","Gd9",0,1856.2032,352.1276,0,0.159454190468203,"LC",0
"232","Gh1",1.1692,8179.1324,190.3536,0,0.0227405854681483,"LC",0.43957572162332
"233","Gh10",0,5809.954,20155.6552,0,0.776244263893489,"LC",0
"234","Gh11",0,416.8372,506.7248,0,0.548663543974308,"LC",0
"235","Gh12",0,221.04,108.4452,0,0.329135269201773,"LC",0
"236","Gh13",0,2123.9628,1642.2648,0,0.436050333229994,"LC",0
"237","Gh14",0,3675.9588,5511.4976,0,0.599893742080779,"LC",0
"238","Gh15",0,5468.7564,3129.6692,0,0.363981657293168,"LC",0
"239","Gh2",0,5659.9492,1503.2332,0,0.209855496629543,"LC",0
"240","Gh3",0,12356.7924,1035.6428,0,0.0773304320337499,"LC",0
"241","Gh4",0,9249.8548,428.0028,0,0.0442249532582501,"LC",0
"242","Gh5",0,2576.92,2372.7276,0,0.479373036577392,"LC",0
"243","Gh6",0,10489.7152,5523.2416,0,0.344923281126943,"LC",0
"244","Gh7",0,1286.362,285.6308,0,0.181699814401186,"LC",0
"245","Gh8",0,66.1852,14.2856,0,0.177525263822405,"LC",0
"246","Gh9",0,5307.7256,1766.6296,0,0.249723056032018,"LC",0
