"","T_MAPCODE","deg80","nat","notnat","prcdeg_step","prplost","D3_step","ext_step"
"453","SVmp3",0,276.862,0.1808,0,0.000652606745239364,"LC",0
"454","SVmp4",0,2800.236,5.1572,0,0.00183831628307932,"LC",0
"455","SVmp5",0,4722.2952,594.7916,0,0.111864188487576,"LC",0
"456","SVmp6",0,2431.404,722.6796,0,0.229125061872171,"LC",0
"457","SVmp7",0,2027.5484,197.984,0,0.0889602865363811,"LC",0
"458","SVmp8",0,310.3108,0.1576,0,0.000507620099179176,"LC",0
"459","SVs1",0,1972.3316,734.1904,0,0.271267109596744,"LC",0
"460","SVs2",0,1631.5884,584.0628,0,0.263607737535583,"LC",0
"461","SVs3",0,1013.9676,519.4752,0,0.338763989109995,"LC",0
"462","SVs4",0,325.8,477.3016,0,0.594322810463832,"LC",0
"463","SVs5",0,250.9584,1561.6736,0,0.861550276062654,"LC",0
"464","SVs6",0,7396.5736,2788.9948,0,0.273818278025603,"LC",0.222857783763938
"465","SVs7",0.3376,6161.1,1600.7564,0,0.206224734913866,"LC",0.623446102996137
"466","SVs8",0.0372,1527.764,0.0012,0,7.8544188698748e-07,"LC",1
