"","lc18","lc22","biome","n","km2"
"133","7","5","Azonal Vegetation",5106,2.0424
"134","1","6","Azonal Vegetation",5927,2.3708
"135","2","6","Azonal Vegetation",4901,1.9604
"136","3","6","Azonal Vegetation",545,0.218
"137","4","6","Azonal Vegetation",454,0.1816
"138","5","6","Azonal Vegetation",305,0.122
"139","6","6","Azonal Vegetation",85286,34.1144
"140","7","6","Azonal Vegetation",30,0.012
"141","1","7","Azonal Vegetation",19195,7.678
"142","2","7","Azonal Vegetation",13069,5.2276
"143","3","7","Azonal Vegetation",193,0.0772
"144","4","7","Azonal Vegetation",2376,0.9504
"145","5","7","Azonal Vegetation",137,0.0548
"146","6","7","Azonal Vegetation",156,0.0624
"147","7","7","Azonal Vegetation",162633,65.0532
"148","1","1","Desert",15329052,6131.6208
"149","2","1","Desert",0,0
"150","3","1","Desert",0,0
"151","4","1","Desert",0,0
"152","5","1","Desert",0,0
"153","6","1","Desert",25,0.01
"154","7","1","Desert",0,0
"155","1","2","Desert",1002,0.4008
"156","2","2","Desert",40258,16.1032
"157","3","2","Desert",450,0.18
"158","4","2","Desert",3018,1.2072
"159","5","2","Desert",10,0.004
"160","6","2","Desert",7328,2.9312
"161","7","2","Desert",4,0.0016
"162","1","3","Desert",395,0.158
"163","2","3","Desert",39,0.0156
"164","3","3","Desert",697,0.2788
"165","4","3","Desert",0,0
"166","5","3","Desert",9,0.0036
"167","6","3","Desert",201,0.0804
"168","7","3","Desert",0,0
"169","1","4","Desert",884,0.3536
"170","2","4","Desert",272,0.1088
"171","3","4","Desert",0,0
"172","4","4","Desert",38304,15.3216
"173","5","4","Desert",4641,1.8564
"174","6","4","Desert",126,0.0504
"175","7","4","Desert",4,0.0016
"176","1","5","Desert",276,0.1104
"177","2","5","Desert",645,0.258
"178","3","5","Desert",0,0
"179","4","5","Desert",7,0.0028
"180","5","5","Desert",16134,6.4536
"181","6","5","Desert",91,0.0364
"182","7","5","Desert",3,0.0012
"183","1","6","Desert",4220,1.688
"184","2","6","Desert",1264,0.5056
"185","3","6","Desert",244,0.0976
"186","4","6","Desert",132,0.0528
"187","5","6","Desert",2,8e-04
"188","6","6","Desert",206171,82.4684
"189","7","6","Desert",0,0
"190","1","7","Desert",70,0.028
"191","2","7","Desert",10,0.004
"192","3","7","Desert",0,0
"193","4","7","Desert",7,0.0028
"194","5","7","Desert",0,0
"195","6","7","Desert",0,0
"196","7","7","Desert",168,0.0672
"197","1","1","Forests",9732801,3893.1204
"198","2","1","Forests",0,0
"199","3","1","Forests",0,0
"200","4","1","Forests",0,0
"201","5","1","Forests",0,0
"202","6","1","Forests",0,0
"203","7","1","Forests",0,0
