"","nlc2022_7class","T_MAPCODE","PROVINCE","n"
"1626","2","Gh11","Eastern Cape",0
"1627","3","Gh11","Eastern Cape",0
"1628","4","Gh11","Eastern Cape",0
"1629","5","Gh11","Eastern Cape",0
"1630","6","Gh11","Eastern Cape",0
"1631","7","Gh11","Eastern Cape",0
"1632","1","Gh12","Eastern Cape",0
"1633","2","Gh12","Eastern Cape",0
"1634","3","Gh12","Eastern Cape",0
"1635","4","Gh12","Eastern Cape",0
"1636","5","Gh12","Eastern Cape",0
"1637","6","Gh12","Eastern Cape",0
"1638","7","Gh12","Eastern Cape",0
"1639","1","Gh13","Eastern Cape",0
"1640","2","Gh13","Eastern Cape",0
"1641","3","Gh13","Eastern Cape",0
"1642","4","Gh13","Eastern Cape",0
"1643","5","Gh13","Eastern Cape",0
"1644","6","Gh13","Eastern Cape",0
"1645","7","Gh13","Eastern Cape",0
"1646","1","Gh14","Eastern Cape",0
"1647","2","Gh14","Eastern Cape",0
"1648","3","Gh14","Eastern Cape",0
"1649","4","Gh14","Eastern Cape",0
"1650","5","Gh14","Eastern Cape",0
"1651","6","Gh14","Eastern Cape",0
"1652","7","Gh14","Eastern Cape",0
"1653","1","Gh15","Eastern Cape",0
"1654","2","Gh15","Eastern Cape",0
"1655","3","Gh15","Eastern Cape",0
"1656","4","Gh15","Eastern Cape",0
"1657","5","Gh15","Eastern Cape",0
"1658","6","Gh15","Eastern Cape",0
"1659","7","Gh15","Eastern Cape",0
"1660","1","Gh2","Eastern Cape",3875015
"1661","2","Gh2","Eastern Cape",360610
"1662","3","Gh2","Eastern Cape",56961
"1663","4","Gh2","Eastern Cape",18100
"1664","5","Gh2","Eastern Cape",731530
"1665","6","Gh2","Eastern Cape",638
"1666","7","Gh2","Eastern Cape",9184
"1667","1","Gh3","Eastern Cape",0
"1668","2","Gh3","Eastern Cape",80
"1669","3","Gh3","Eastern Cape",11041
"1670","4","Gh3","Eastern Cape",0
"1671","5","Gh3","Eastern Cape",0
"1672","6","Gh3","Eastern Cape",0
"1673","7","Gh3","Eastern Cape",0
"1674","1","Gh4","Eastern Cape",3946911
"1675","2","Gh4","Eastern Cape",41166
"1676","3","Gh4","Eastern Cape",38660
"1677","4","Gh4","Eastern Cape",5172
"1678","5","Gh4","Eastern Cape",34776
"1679","6","Gh4","Eastern Cape",964
"1680","7","Gh4","Eastern Cape",1488
"1681","1","Gh5","Eastern Cape",0
"1682","2","Gh5","Eastern Cape",0
"1683","3","Gh5","Eastern Cape",0
"1684","4","Gh5","Eastern Cape",0
"1685","5","Gh5","Eastern Cape",0
"1686","6","Gh5","Eastern Cape",0
"1687","7","Gh5","Eastern Cape",0
"1688","1","Gh6","Eastern Cape",0
"1689","2","Gh6","Eastern Cape",0
"1690","3","Gh6","Eastern Cape",0
"1691","4","Gh6","Eastern Cape",0
"1692","5","Gh6","Eastern Cape",0
"1693","6","Gh6","Eastern Cape",0
"1694","7","Gh6","Eastern Cape",0
"1695","1","Gh7","Eastern Cape",0
"1696","2","Gh7","Eastern Cape",0
"1697","3","Gh7","Eastern Cape",0
"1698","4","Gh7","Eastern Cape",0
"1699","5","Gh7","Eastern Cape",0
"1700","6","Gh7","Eastern Cape",0
"1701","7","Gh7","Eastern Cape",0
"1702","1","Gh8","Eastern Cape",0
"1703","2","Gh8","Eastern Cape",0
"1704","3","Gh8","Eastern Cape",0
"1705","4","Gh8","Eastern Cape",0
"1706","5","Gh8","Eastern Cape",0
"1707","6","Gh8","Eastern Cape",0
"1708","7","Gh8","Eastern Cape",0
"1709","1","Gh9","Eastern Cape",0
"1710","2","Gh9","Eastern Cape",0
"1711","3","Gh9","Eastern Cape",0
"1712","4","Gh9","Eastern Cape",0
"1713","5","Gh9","Eastern Cape",0
"1714","6","Gh9","Eastern Cape",0
"1715","7","Gh9","Eastern Cape",0
"1716","1","Gm1","Eastern Cape",2835334
"1717","2","Gm1","Eastern Cape",141390
"1718","3","Gm1","Eastern Cape",6409
"1719","4","Gm1","Eastern Cape",281347
"1720","5","Gm1","Eastern Cape",496423
"1721","6","Gm1","Eastern Cape",822
"1722","7","Gm1","Eastern Cape",12667
"1723","1","Gm10","Eastern Cape",0
"1724","2","Gm10","Eastern Cape",0
"1725","3","Gm10","Eastern Cape",0
"1726","4","Gm10","Eastern Cape",0
"1727","5","Gm10","Eastern Cape",0
"1728","6","Gm10","Eastern Cape",0
"1729","7","Gm10","Eastern Cape",0
"1730","1","Gm11","Eastern Cape",0
"1731","2","Gm11","Eastern Cape",0
"1732","3","Gm11","Eastern Cape",0
"1733","4","Gm11","Eastern Cape",0
"1734","5","Gm11","Eastern Cape",0
"1735","6","Gm11","Eastern Cape",0
"1736","7","Gm11","Eastern Cape",0
"1737","1","Gm12","Eastern Cape",0
"1738","2","Gm12","Eastern Cape",0
"1739","3","Gm12","Eastern Cape",0
"1740","4","Gm12","Eastern Cape",0
"1741","5","Gm12","Eastern Cape",0
"1742","6","Gm12","Eastern Cape",0
"1743","7","Gm12","Eastern Cape",0
"1744","1","Gm13","Eastern Cape",0
"1745","2","Gm13","Eastern Cape",0
"1746","3","Gm13","Eastern Cape",0
"1747","4","Gm13","Eastern Cape",0
"1748","5","Gm13","Eastern Cape",0
"1749","6","Gm13","Eastern Cape",0
"1750","7","Gm13","Eastern Cape",0
"1751","1","Gm14","Eastern Cape",0
"1752","2","Gm14","Eastern Cape",0
"1753","3","Gm14","Eastern Cape",0
"1754","4","Gm14","Eastern Cape",0
"1755","5","Gm14","Eastern Cape",0
"1756","6","Gm14","Eastern Cape",0
"1757","7","Gm14","Eastern Cape",0
"1758","1","Gm15","Eastern Cape",0
"1759","2","Gm15","Eastern Cape",0
"1760","3","Gm15","Eastern Cape",0
"1761","4","Gm15","Eastern Cape",0
"1762","5","Gm15","Eastern Cape",0
"1763","6","Gm15","Eastern Cape",0
"1764","7","Gm15","Eastern Cape",0
"1765","1","Gm16","Eastern Cape",0
"1766","2","Gm16","Eastern Cape",0
"1767","3","Gm16","Eastern Cape",0
"1768","4","Gm16","Eastern Cape",0
"1769","5","Gm16","Eastern Cape",0
"1770","6","Gm16","Eastern Cape",0
"1771","7","Gm16","Eastern Cape",0
"1772","1","Gm17","Eastern Cape",0
"1773","2","Gm17","Eastern Cape",0
"1774","3","Gm17","Eastern Cape",0
"1775","4","Gm17","Eastern Cape",0
"1776","5","Gm17","Eastern Cape",0
"1777","6","Gm17","Eastern Cape",0
"1778","7","Gm17","Eastern Cape",0
"1779","1","Gm19","Eastern Cape",0
"1780","2","Gm19","Eastern Cape",0
"1781","3","Gm19","Eastern Cape",0
"1782","4","Gm19","Eastern Cape",0
"1783","5","Gm19","Eastern Cape",0
"1784","6","Gm19","Eastern Cape",0
"1785","7","Gm19","Eastern Cape",0
"1786","1","Gm2","Eastern Cape",1559554
"1787","2","Gm2","Eastern Cape",42575
"1788","3","Gm2","Eastern Cape",2445
"1789","4","Gm2","Eastern Cape",118736
"1790","5","Gm2","Eastern Cape",67525
"1791","6","Gm2","Eastern Cape",0
"1792","7","Gm2","Eastern Cape",1217
"1793","1","Gm20","Eastern Cape",0
"1794","2","Gm20","Eastern Cape",0
"1795","3","Gm20","Eastern Cape",0
"1796","4","Gm20","Eastern Cape",0
"1797","5","Gm20","Eastern Cape",0
"1798","6","Gm20","Eastern Cape",0
"1799","7","Gm20","Eastern Cape",0
"1800","1","Gm21","Eastern Cape",0
"1801","2","Gm21","Eastern Cape",0
"1802","3","Gm21","Eastern Cape",0
"1803","4","Gm21","Eastern Cape",0
"1804","5","Gm21","Eastern Cape",0
"1805","6","Gm21","Eastern Cape",0
"1806","7","Gm21","Eastern Cape",0
"1807","1","Gm22","Eastern Cape",0
"1808","2","Gm22","Eastern Cape",0
"1809","3","Gm22","Eastern Cape",0
"1810","4","Gm22","Eastern Cape",0
"1811","5","Gm22","Eastern Cape",0
"1812","6","Gm22","Eastern Cape",0
"1813","7","Gm22","Eastern Cape",0
"1814","1","Gm23","Eastern Cape",0
"1815","2","Gm23","Eastern Cape",0
"1816","3","Gm23","Eastern Cape",0
"1817","4","Gm23","Eastern Cape",0
"1818","5","Gm23","Eastern Cape",0
"1819","6","Gm23","Eastern Cape",0
"1820","7","Gm23","Eastern Cape",0
"1821","1","Gm24","Eastern Cape",0
"1822","2","Gm24","Eastern Cape",0
"1823","3","Gm24","Eastern Cape",0
"1824","4","Gm24","Eastern Cape",0
"1825","5","Gm24","Eastern Cape",0
"1826","6","Gm24","Eastern Cape",0
"1827","7","Gm24","Eastern Cape",0
"1828","1","Gm25","Eastern Cape",0
"1829","2","Gm25","Eastern Cape",0
"1830","3","Gm25","Eastern Cape",0
"1831","4","Gm25","Eastern Cape",0
"1832","5","Gm25","Eastern Cape",0
"1833","6","Gm25","Eastern Cape",0
"1834","7","Gm25","Eastern Cape",0
"1835","1","Gm26","Eastern Cape",0
"1836","2","Gm26","Eastern Cape",0
"1837","3","Gm26","Eastern Cape",0
"1838","4","Gm26","Eastern Cape",0
"1839","5","Gm26","Eastern Cape",0
"1840","6","Gm26","Eastern Cape",0
"1841","7","Gm26","Eastern Cape",0
"1842","1","Gm27","Eastern Cape",0
"1843","2","Gm27","Eastern Cape",0
"1844","3","Gm27","Eastern Cape",0
"1845","4","Gm27","Eastern Cape",0
"1846","5","Gm27","Eastern Cape",0
"1847","6","Gm27","Eastern Cape",0
"1848","7","Gm27","Eastern Cape",0
"1849","1","Gm28","Eastern Cape",0
"1850","2","Gm28","Eastern Cape",0
"1851","3","Gm28","Eastern Cape",0
"1852","4","Gm28","Eastern Cape",0
"1853","5","Gm28","Eastern Cape",0
"1854","6","Gm28","Eastern Cape",0
"1855","7","Gm28","Eastern Cape",0
"1856","1","Gm29","Eastern Cape",0
"1857","2","Gm29","Eastern Cape",0
"1858","3","Gm29","Eastern Cape",0
"1859","4","Gm29","Eastern Cape",0
"1860","5","Gm29","Eastern Cape",0
"1861","6","Gm29","Eastern Cape",0
"1862","7","Gm29","Eastern Cape",0
"1863","1","Gm3","Eastern Cape",0
"1864","2","Gm3","Eastern Cape",0
"1865","3","Gm3","Eastern Cape",0
"1866","4","Gm3","Eastern Cape",0
"1867","5","Gm3","Eastern Cape",0
"1868","6","Gm3","Eastern Cape",0
"1869","7","Gm3","Eastern Cape",0
"1870","1","Gm30","Eastern Cape",0
"1871","2","Gm30","Eastern Cape",0
"1872","3","Gm30","Eastern Cape",0
"1873","4","Gm30","Eastern Cape",0
"1874","5","Gm30","Eastern Cape",0
"1875","6","Gm30","Eastern Cape",0
"1876","7","Gm30","Eastern Cape",0
"1877","1","Gm31","Eastern Cape",0
"1878","2","Gm31","Eastern Cape",0
"1879","3","Gm31","Eastern Cape",0
"1880","4","Gm31","Eastern Cape",0
"1881","5","Gm31","Eastern Cape",0
"1882","6","Gm31","Eastern Cape",0
"1883","7","Gm31","Eastern Cape",0
"1884","1","Gm4","Eastern Cape",0
"1885","2","Gm4","Eastern Cape",0
"1886","3","Gm4","Eastern Cape",0
"1887","4","Gm4","Eastern Cape",0
"1888","5","Gm4","Eastern Cape",0
"1889","6","Gm4","Eastern Cape",0
"1890","7","Gm4","Eastern Cape",0
"1891","1","Gm5","Eastern Cape",53059
"1892","2","Gm5","Eastern Cape",788
"1893","3","Gm5","Eastern Cape",7
"1894","4","Gm5","Eastern Cape",4200
"1895","5","Gm5","Eastern Cape",3444
"1896","6","Gm5","Eastern Cape",131
"1897","7","Gm5","Eastern Cape",12
"1898","1","Gm6","Eastern Cape",0
"1899","2","Gm6","Eastern Cape",0
"1900","3","Gm6","Eastern Cape",0
"1901","4","Gm6","Eastern Cape",0
"1902","5","Gm6","Eastern Cape",0
"1903","6","Gm6","Eastern Cape",0
"1904","7","Gm6","Eastern Cape",0
"1905","1","Gm7","Eastern Cape",0
"1906","2","Gm7","Eastern Cape",0
"1907","3","Gm7","Eastern Cape",0
"1908","4","Gm7","Eastern Cape",0
"1909","5","Gm7","Eastern Cape",0
"1910","6","Gm7","Eastern Cape",0
"1911","7","Gm7","Eastern Cape",0
"1912","1","Gm8","Eastern Cape",0
"1913","2","Gm8","Eastern Cape",0
"1914","3","Gm8","Eastern Cape",0
"1915","4","Gm8","Eastern Cape",0
"1916","5","Gm8","Eastern Cape",0
"1917","6","Gm8","Eastern Cape",0
"1918","7","Gm8","Eastern Cape",0
"1919","1","Gm9","Eastern Cape",0
"1920","2","Gm9","Eastern Cape",0
"1921","3","Gm9","Eastern Cape",0
"1922","4","Gm9","Eastern Cape",0
"1923","5","Gm9","Eastern Cape",0
"1924","6","Gm9","Eastern Cape",0
"1925","7","Gm9","Eastern Cape",0
"1926","1","Gs1","Eastern Cape",0
"1927","2","Gs1","Eastern Cape",0
"1928","3","Gs1","Eastern Cape",0
"1929","4","Gs1","Eastern Cape",0
"1930","5","Gs1","Eastern Cape",0
"1931","6","Gs1","Eastern Cape",0
"1932","7","Gs1","Eastern Cape",0
"1933","1","Gs10","Eastern Cape",12944905
"1934","2","Gs10","Eastern Cape",944187
"1935","3","Gs10","Eastern Cape",9258
"1936","4","Gs10","Eastern Cape",1312904
"1937","5","Gs10","Eastern Cape",1703487
"1938","6","Gs10","Eastern Cape",2133
"1939","7","Gs10","Eastern Cape",1008219
"1940","1","Gs11","Eastern Cape",0
"1941","2","Gs11","Eastern Cape",0
"1942","3","Gs11","Eastern Cape",0
"1943","4","Gs11","Eastern Cape",0
"1944","5","Gs11","Eastern Cape",0
"1945","6","Gs11","Eastern Cape",0
"1946","7","Gs11","Eastern Cape",0
"1947","1","Gs12","Eastern Cape",9937279
"1948","2","Gs12","Eastern Cape",1770530
"1949","3","Gs12","Eastern Cape",35559
"1950","4","Gs12","Eastern Cape",1886303
"1951","5","Gs12","Eastern Cape",3665710
"1952","6","Gs12","Eastern Cape",3069
"1953","7","Gs12","Eastern Cape",882074
"1954","1","Gs13","Eastern Cape",368388
"1955","2","Gs13","Eastern Cape",205109
"1956","3","Gs13","Eastern Cape",50552
"1957","4","Gs13","Eastern Cape",44567
"1958","5","Gs13","Eastern Cape",541893
"1959","6","Gs13","Eastern Cape",1130
"1960","7","Gs13","Eastern Cape",4327
"1961","1","Gs14","Eastern Cape",5339647
"1962","2","Gs14","Eastern Cape",1475831
"1963","3","Gs14","Eastern Cape",15473
"1964","4","Gs14","Eastern Cape",2331554
"1965","5","Gs14","Eastern Cape",3552100
"1966","6","Gs14","Eastern Cape",6713
"1967","7","Gs14","Eastern Cape",482862
"1968","1","Gs15","Eastern Cape",9270035
"1969","2","Gs15","Eastern Cape",1363883
"1970","3","Gs15","Eastern Cape",132207
"1971","4","Gs15","Eastern Cape",1242480
"1972","5","Gs15","Eastern Cape",3244296
"1973","6","Gs15","Eastern Cape",3530
"1974","7","Gs15","Eastern Cape",86723
"1975","1","Gs16","Eastern Cape",7450550
"1976","2","Gs16","Eastern Cape",358894
"1977","3","Gs16","Eastern Cape",37922
"1978","4","Gs16","Eastern Cape",471335
"1979","5","Gs16","Eastern Cape",678687
"1980","6","Gs16","Eastern Cape",3889
"1981","7","Gs16","Eastern Cape",14459
"1982","1","Gs17","Eastern Cape",10092773
"1983","2","Gs17","Eastern Cape",54917
"1984","3","Gs17","Eastern Cape",11008
"1985","4","Gs17","Eastern Cape",36604
"1986","5","Gs17","Eastern Cape",71738
"1987","6","Gs17","Eastern Cape",1620
"1988","7","Gs17","Eastern Cape",2305
"1989","1","Gs18","Eastern Cape",3518479
"1990","2","Gs18","Eastern Cape",28095
"1991","3","Gs18","Eastern Cape",2594
"1992","4","Gs18","Eastern Cape",10071
"1993","5","Gs18","Eastern Cape",23881
"1994","6","Gs18","Eastern Cape",206
"1995","7","Gs18","Eastern Cape",1504
"1996","1","Gs19","Eastern Cape",205709
"1997","2","Gs19","Eastern Cape",136606
"1998","3","Gs19","Eastern Cape",2816
"1999","4","Gs19","Eastern Cape",86729
"2000","5","Gs19","Eastern Cape",168819
"2001","6","Gs19","Eastern Cape",92
"2002","7","Gs19","Eastern Cape",5999
"2003","1","Gs2","Eastern Cape",0
"2004","2","Gs2","Eastern Cape",0
"2005","3","Gs2","Eastern Cape",0
"2006","4","Gs2","Eastern Cape",0
"2007","5","Gs2","Eastern Cape",0
"2008","6","Gs2","Eastern Cape",0
"2009","7","Gs2","Eastern Cape",0
"2010","1","Gs20","Eastern Cape",1686380
"2011","2","Gs20","Eastern Cape",1056756
"2012","3","Gs20","Eastern Cape",1110
"2013","4","Gs20","Eastern Cape",1009203
"2014","5","Gs20","Eastern Cape",853060
"2015","6","Gs20","Eastern Cape",465
"2016","7","Gs20","Eastern Cape",67186
"2017","1","Gs3","Eastern Cape",0
"2018","2","Gs3","Eastern Cape",0
"2019","3","Gs3","Eastern Cape",0
"2020","4","Gs3","Eastern Cape",0
"2021","5","Gs3","Eastern Cape",0
"2022","6","Gs3","Eastern Cape",0
"2023","7","Gs3","Eastern Cape",0
"2024","1","Gs4","Eastern Cape",0
"2025","2","Gs4","Eastern Cape",0
"2026","3","Gs4","Eastern Cape",0
"2027","4","Gs4","Eastern Cape",0
"2028","5","Gs4","Eastern Cape",0
"2029","6","Gs4","Eastern Cape",0
"2030","7","Gs4","Eastern Cape",0
"2031","1","Gs6","Eastern Cape",0
"2032","2","Gs6","Eastern Cape",0
"2033","3","Gs6","Eastern Cape",0
"2034","4","Gs6","Eastern Cape",0
"2035","5","Gs6","Eastern Cape",0
"2036","6","Gs6","Eastern Cape",0
"2037","7","Gs6","Eastern Cape",0
"2038","1","Gs7","Eastern Cape",0
"2039","2","Gs7","Eastern Cape",0
"2040","3","Gs7","Eastern Cape",0
"2041","4","Gs7","Eastern Cape",0
"2042","5","Gs7","Eastern Cape",0
"2043","6","Gs7","Eastern Cape",0
"2044","7","Gs7","Eastern Cape",0
"2045","1","Gs8","Eastern Cape",0
"2046","2","Gs8","Eastern Cape",0
"2047","3","Gs8","Eastern Cape",0
"2048","4","Gs8","Eastern Cape",0
"2049","5","Gs8","Eastern Cape",0
"2050","6","Gs8","Eastern Cape",0
"2051","7","Gs8","Eastern Cape",0
"2052","1","Gs9","Eastern Cape",1227457
"2053","2","Gs9","Eastern Cape",571998
"2054","3","Gs9","Eastern Cape",342
"2055","4","Gs9","Eastern Cape",756997
"2056","5","Gs9","Eastern Cape",722385
"2057","6","Gs9","Eastern Cape",498
"2058","7","Gs9","Eastern Cape",101999
"2059","1","NKb1","Eastern Cape",0
"2060","2","NKb1","Eastern Cape",0
"2061","3","NKb1","Eastern Cape",0
"2062","4","NKb1","Eastern Cape",0
"2063","5","NKb1","Eastern Cape",0
"2064","6","NKb1","Eastern Cape",0
"2065","7","NKb1","Eastern Cape",0
"2066","1","NKb2","Eastern Cape",0
"2067","2","NKb2","Eastern Cape",0
"2068","3","NKb2","Eastern Cape",0
"2069","4","NKb2","Eastern Cape",0
"2070","5","NKb2","Eastern Cape",0
"2071","6","NKb2","Eastern Cape",0
"2072","7","NKb2","Eastern Cape",0
"2073","1","NKb3","Eastern Cape",0
"2074","2","NKb3","Eastern Cape",0
"2075","3","NKb3","Eastern Cape",0
"2076","4","NKb3","Eastern Cape",0
"2077","5","NKb3","Eastern Cape",0
"2078","6","NKb3","Eastern Cape",0
"2079","7","NKb3","Eastern Cape",0
"2080","1","NKb4","Eastern Cape",0
"2081","2","NKb4","Eastern Cape",0
"2082","3","NKb4","Eastern Cape",0
"2083","4","NKb4","Eastern Cape",0
"2084","5","NKb4","Eastern Cape",0
"2085","6","NKb4","Eastern Cape",0
"2086","7","NKb4","Eastern Cape",0
"2087","1","NKb5","Eastern Cape",0
"2088","2","NKb5","Eastern Cape",0
"2089","3","NKb5","Eastern Cape",0
"2090","4","NKb5","Eastern Cape",0
"2091","5","NKb5","Eastern Cape",0
"2092","6","NKb5","Eastern Cape",0
"2093","7","NKb5","Eastern Cape",0
"2094","1","NKb6","Eastern Cape",0
"2095","2","NKb6","Eastern Cape",0
"2096","3","NKb6","Eastern Cape",0
"2097","4","NKb6","Eastern Cape",0
"2098","5","NKb6","Eastern Cape",0
"2099","6","NKb6","Eastern Cape",0
"2100","7","NKb6","Eastern Cape",0
"2101","1","NKl1","Eastern Cape",4921522
"2102","2","NKl1","Eastern Cape",14957
"2103","3","NKl1","Eastern Cape",4837
"2104","4","NKl1","Eastern Cape",12634
"2105","5","NKl1","Eastern Cape",4319
"2106","6","NKl1","Eastern Cape",819
"2107","7","NKl1","Eastern Cape",35
"2108","1","NKl2","Eastern Cape",19557346
"2109","2","NKl2","Eastern Cape",142364
"2110","3","NKl2","Eastern Cape",46750
"2111","4","NKl2","Eastern Cape",74584
"2112","5","NKl2","Eastern Cape",113032
"2113","6","NKl2","Eastern Cape",7569
"2114","7","NKl2","Eastern Cape",653
"2115","1","NKl4","Eastern Cape",1708032
"2116","2","NKl4","Eastern Cape",26819
"2117","3","NKl4","Eastern Cape",2547
"2118","4","NKl4","Eastern Cape",7047
"2119","5","NKl4","Eastern Cape",111531
"2120","6","NKl4","Eastern Cape",70
"2121","7","NKl4","Eastern Cape",687
"2122","1","NKu1","Eastern Cape",0
"2123","2","NKu1","Eastern Cape",0
"2124","3","NKu1","Eastern Cape",0
"2125","4","NKu1","Eastern Cape",0
"2126","5","NKu1","Eastern Cape",0
"2127","6","NKu1","Eastern Cape",0
"2128","7","NKu1","Eastern Cape",0
"2129","1","NKu2","Eastern Cape",2975464
"2130","2","NKu2","Eastern Cape",3332
"2131","3","NKu2","Eastern Cape",461
"2132","4","NKu2","Eastern Cape",1411
"2133","5","NKu2","Eastern Cape",2901
"2134","6","NKu2","Eastern Cape",4
"2135","7","NKu2","Eastern Cape",271
"2136","1","NKu3","Eastern Cape",0
"2137","2","NKu3","Eastern Cape",0
"2138","3","NKu3","Eastern Cape",0
"2139","4","NKu3","Eastern Cape",0
"2140","5","NKu3","Eastern Cape",0
"2141","6","NKu3","Eastern Cape",0
"2142","7","NKu3","Eastern Cape",0
"2143","1","NKu4","Eastern Cape",40496999
"2144","2","NKu4","Eastern Cape",959384
"2145","3","NKu4","Eastern Cape",602434
"2146","4","NKu4","Eastern Cape",128202
"2147","5","NKu4","Eastern Cape",1117973
"2148","6","NKu4","Eastern Cape",2366
"2149","7","NKu4","Eastern Cape",30305
"2150","1","NOTVEG","Eastern Cape",231948
"2151","2","NOTVEG","Eastern Cape",21986
"2152","3","NOTVEG","Eastern Cape",10610
"2153","4","NOTVEG","Eastern Cape",11640
"2154","5","NOTVEG","Eastern Cape",3827
"2155","6","NOTVEG","Eastern Cape",881
"2156","7","NOTVEG","Eastern Cape",1
"2157","1","SKk1","Eastern Cape",0
"2158","2","SKk1","Eastern Cape",0
"2159","3","SKk1","Eastern Cape",0
"2160","4","SKk1","Eastern Cape",0
"2161","5","SKk1","Eastern Cape",0
"2162","6","SKk1","Eastern Cape",0
"2163","7","SKk1","Eastern Cape",0
"2164","1","SKk2","Eastern Cape",0
"2165","2","SKk2","Eastern Cape",0
"2166","3","SKk2","Eastern Cape",0
"2167","4","SKk2","Eastern Cape",0
"2168","5","SKk2","Eastern Cape",0
"2169","6","SKk2","Eastern Cape",0
"2170","7","SKk2","Eastern Cape",0
"2171","1","SKk3","Eastern Cape",0
"2172","2","SKk3","Eastern Cape",0
"2173","3","SKk3","Eastern Cape",0
"2174","4","SKk3","Eastern Cape",0
"2175","5","SKk3","Eastern Cape",0
"2176","6","SKk3","Eastern Cape",0
"2177","7","SKk3","Eastern Cape",0
"2178","1","SKk4","Eastern Cape",0
"2179","2","SKk4","Eastern Cape",0
"2180","3","SKk4","Eastern Cape",0
"2181","4","SKk4","Eastern Cape",0
"2182","5","SKk4","Eastern Cape",0
"2183","6","SKk4","Eastern Cape",0
"2184","7","SKk4","Eastern Cape",0
"2185","1","SKk5","Eastern Cape",0
"2186","2","SKk5","Eastern Cape",0
"2187","3","SKk5","Eastern Cape",0
"2188","4","SKk5","Eastern Cape",0
"2189","5","SKk5","Eastern Cape",0
"2190","6","SKk5","Eastern Cape",0
"2191","7","SKk5","Eastern Cape",0
"2192","1","SKk6","Eastern Cape",0
"2193","2","SKk6","Eastern Cape",0
"2194","3","SKk6","Eastern Cape",0
"2195","4","SKk6","Eastern Cape",0
"2196","5","SKk6","Eastern Cape",0
"2197","6","SKk6","Eastern Cape",0
"2198","7","SKk6","Eastern Cape",0
"2199","1","SKk7","Eastern Cape",0
"2200","2","SKk7","Eastern Cape",0
"2201","3","SKk7","Eastern Cape",0
"2202","4","SKk7","Eastern Cape",0
"2203","5","SKk7","Eastern Cape",0
"2204","6","SKk7","Eastern Cape",0
"2205","7","SKk7","Eastern Cape",0
"2206","1","SKk8","Eastern Cape",0
"2207","2","SKk8","Eastern Cape",0
"2208","3","SKk8","Eastern Cape",0
"2209","4","SKk8","Eastern Cape",0
"2210","5","SKk8","Eastern Cape",0
"2211","6","SKk8","Eastern Cape",0
"2212","7","SKk8","Eastern Cape",0
"2213","1","SKk9","Eastern Cape",0
"2214","2","SKk9","Eastern Cape",0
"2215","3","SKk9","Eastern Cape",0
"2216","4","SKk9","Eastern Cape",0
"2217","5","SKk9","Eastern Cape",0
"2218","6","SKk9","Eastern Cape",0
"2219","7","SKk9","Eastern Cape",0
"2220","1","SKn1","Eastern Cape",0
"2221","2","SKn1","Eastern Cape",0
"2222","3","SKn1","Eastern Cape",0
"2223","4","SKn1","Eastern Cape",0
"2224","5","SKn1","Eastern Cape",0
"2225","6","SKn1","Eastern Cape",0
"2226","7","SKn1","Eastern Cape",0
"2227","1","SKn2","Eastern Cape",0
"2228","2","SKn2","Eastern Cape",0
"2229","3","SKn2","Eastern Cape",0
"2230","4","SKn2","Eastern Cape",0
"2231","5","SKn2","Eastern Cape",0
"2232","6","SKn2","Eastern Cape",0
"2233","7","SKn2","Eastern Cape",0
"2234","1","SKn3","Eastern Cape",0
"2235","2","SKn3","Eastern Cape",0
"2236","3","SKn3","Eastern Cape",0
"2237","4","SKn3","Eastern Cape",0
"2238","5","SKn3","Eastern Cape",0
"2239","6","SKn3","Eastern Cape",0
"2240","7","SKn3","Eastern Cape",0
"2241","1","SKn4","Eastern Cape",0
"2242","2","SKn4","Eastern Cape",0
"2243","3","SKn4","Eastern Cape",0
"2244","4","SKn4","Eastern Cape",0
"2245","5","SKn4","Eastern Cape",0
"2246","6","SKn4","Eastern Cape",0
"2247","7","SKn4","Eastern Cape",0
"2248","1","SKn5","Eastern Cape",0
"2249","2","SKn5","Eastern Cape",0
"2250","3","SKn5","Eastern Cape",0
"2251","4","SKn5","Eastern Cape",0
"2252","5","SKn5","Eastern Cape",0
"2253","6","SKn5","Eastern Cape",0
"2254","7","SKn5","Eastern Cape",0
"2255","1","SKn6","Eastern Cape",0
"2256","2","SKn6","Eastern Cape",0
"2257","3","SKn6","Eastern Cape",0
"2258","4","SKn6","Eastern Cape",0
"2259","5","SKn6","Eastern Cape",0
"2260","6","SKn6","Eastern Cape",0
"2261","7","SKn6","Eastern Cape",0
"2262","1","SKn7","Eastern Cape",0
"2263","2","SKn7","Eastern Cape",0
"2264","3","SKn7","Eastern Cape",0
"2265","4","SKn7","Eastern Cape",0
"2266","5","SKn7","Eastern Cape",0
"2267","6","SKn7","Eastern Cape",0
"2268","7","SKn7","Eastern Cape",0
"2269","1","SKr1","Eastern Cape",0
"2270","2","SKr1","Eastern Cape",0
"2271","3","SKr1","Eastern Cape",0
"2272","4","SKr1","Eastern Cape",0
"2273","5","SKr1","Eastern Cape",0
"2274","6","SKr1","Eastern Cape",0
"2275","7","SKr1","Eastern Cape",0
"2276","1","SKr10","Eastern Cape",0
"2277","2","SKr10","Eastern Cape",0
"2278","3","SKr10","Eastern Cape",0
"2279","4","SKr10","Eastern Cape",0
"2280","5","SKr10","Eastern Cape",0
"2281","6","SKr10","Eastern Cape",0
