"","nlc2022_7class","T_MAPCODE","PROVINCE","n"
"162","1","AT38","Eastern Cape",2124413
"163","2","AT38","Eastern Cape",255149
"164","3","AT38","Eastern Cape",1945
"165","4","AT38","Eastern Cape",61783
"166","5","AT38","Eastern Cape",733145
"167","6","AT38","Eastern Cape",2075
"168","7","AT38","Eastern Cape",48625
"169","1","AT39","Eastern Cape",542460
"170","2","AT39","Eastern Cape",23599
"171","3","AT39","Eastern Cape",84
"172","4","AT39","Eastern Cape",24854
"173","5","AT39","Eastern Cape",20369
"174","6","AT39","Eastern Cape",3283
"175","7","AT39","Eastern Cape",0
"176","1","AT40","Eastern Cape",0
"177","2","AT40","Eastern Cape",0
"178","3","AT40","Eastern Cape",0
"179","4","AT40","Eastern Cape",0
"180","5","AT40","Eastern Cape",0
"181","6","AT40","Eastern Cape",0
"182","7","AT40","Eastern Cape",0
"183","1","AT41","Eastern Cape",519664
"184","2","AT41","Eastern Cape",43522
"185","3","AT41","Eastern Cape",256
"186","4","AT41","Eastern Cape",36266
"187","5","AT41","Eastern Cape",158023
"188","6","AT41","Eastern Cape",367
"189","7","AT41","Eastern Cape",10706
"190","1","AT42","Eastern Cape",129326
"191","2","AT42","Eastern Cape",10314
"192","3","AT42","Eastern Cape",66
"193","4","AT42","Eastern Cape",1450
"194","5","AT42","Eastern Cape",8449
"195","6","AT42","Eastern Cape",14
"196","7","AT42","Eastern Cape",22
"197","1","AT43","Eastern Cape",0
"198","2","AT43","Eastern Cape",0
"199","3","AT43","Eastern Cape",0
"200","4","AT43","Eastern Cape",0
"201","5","AT43","Eastern Cape",0
"202","6","AT43","Eastern Cape",0
"203","7","AT43","Eastern Cape",0
"204","1","AT44","Eastern Cape",158138
"205","2","AT44","Eastern Cape",49931
"206","3","AT44","Eastern Cape",253
"207","4","AT44","Eastern Cape",182838
"208","5","AT44","Eastern Cape",16394
"209","6","AT44","Eastern Cape",934
"210","7","AT44","Eastern Cape",156
"211","1","AT45","Eastern Cape",1076236
"212","2","AT45","Eastern Cape",198419
"213","3","AT45","Eastern Cape",943
"214","4","AT45","Eastern Cape",16898
"215","5","AT45","Eastern Cape",448370
"216","6","AT45","Eastern Cape",154
"217","7","AT45","Eastern Cape",1543
"218","1","AT46","Eastern Cape",0
"219","2","AT46","Eastern Cape",0
"220","3","AT46","Eastern Cape",0
"221","4","AT46","Eastern Cape",0
"222","5","AT46","Eastern Cape",0
"223","6","AT46","Eastern Cape",0
"224","7","AT46","Eastern Cape",0
"225","1","AT47","Eastern Cape",2215384
"226","2","AT47","Eastern Cape",22602
"227","3","AT47","Eastern Cape",2473
"228","4","AT47","Eastern Cape",14620
"229","5","AT47","Eastern Cape",21175
"230","6","AT47","Eastern Cape",185
"231","7","AT47","Eastern Cape",0
"232","1","AT48","Eastern Cape",29228
"233","2","AT48","Eastern Cape",1900
"234","3","AT48","Eastern Cape",9
"235","4","AT48","Eastern Cape",14663
"236","5","AT48","Eastern Cape",5142
"237","6","AT48","Eastern Cape",0
"238","7","AT48","Eastern Cape",0
"239","1","AT49","Eastern Cape",13810037
"240","2","AT49","Eastern Cape",105632
"241","3","AT49","Eastern Cape",55082
"242","4","AT49","Eastern Cape",57710
"243","5","AT49","Eastern Cape",87869
"244","6","AT49","Eastern Cape",1075
