"","T_MAPCODE","nat","notnat","prclost_alt","A3","ext_wc","ext_kzn","ext_mpl"
"307","NKu3",40004.69,2268.9584,5,"LC",0.00010486911274022,0,0
"308","NKu4",48077.5988,1756.7644,4,"LC",0.111713388965307,0,0
"309","SKk1",1654.9144,18.8408,1,"LC",0.788625242209852,0,0
"310","SKk2",128.094,1.7892,1,"LC",1,0,0
"311","SKk3",1286.5656,34.3196,3,"LC",1,0,0
"312","SKk4",972.9464,10.5788,1,"LC",0.738113878525939,0,0
"313","SKk5",837.3564,151.226,15,"LC",0.961881579117735,0,0
"314","SKk6",56.5148,3.3292,6,"LC",1,0,0
"315","SKk7",132.9876,52.2096,28,"LC",1,0,0
"316","SKk8",0.6932,2.164,76,"EN",1,0,0
"317","SKk9",139.9108,2.8784,2,"LC",0.859247057900738,0,0
"318","SKn1",7357.7344,224.5232,3,"LC",0.129551968796207,0,0
"319","SKn2",534.1996,5.1372,1,"LC",0,0,0
"320","SKn3",2892.1224,215.8724,7,"LC",0.103578551675826,0,0
"321","SKn4",4618.1372,422.458,8,"LC",0.388175428171657,0,0
"322","SKn5",650.5372,2.8068,0,"LC",0,0,0
"323","SKn6",392.336,4.454,1,"LC",0.0345986541999546,0,0
"324","SKn7",918.6884,78.436,8,"LC",1,0,0
"325","SKr1",1199.6944,0.6692,0,"LC",0,0,0
"326","SKr10",127.1448,0.4268,0,"LC",0,0,0
"327","SKr11",128.1284,1.148,1,"LC",0,0,0
"328","SKr12",611.8832,0.2532,0,"LC",0,0,0
"329","SKr13",721.824,0.8436,0,"LC",0,0,0
"330","SKr14",365.2156,0.35,0,"LC",0,0,0
"331","SKr15",200.2984,41.4816,17,"LC",0,0,0
"332","SKr16",432.3524,0.5096,0,"LC",0,0,0
"333","SKr17",259.6644,1.0772,0,"LC",0,0,0
"334","SKr18",812.3356,5.456,1,"LC",0,0,0
"335","SKr19",367.7724,4.258,1,"LC",0,0,0
"336","SKr2",191.3292,0.78,0,"LC",0,0,0
"337","SKr3",170.7372,0.0368,0,"LC",0,0,0
"338","SKr4",827.1728,9.0688,1,"LC",0,0,0
"339","SKr5",18.3648,0,0,"LC",0,0,0
"340","SKr6",65.816,0.0496,0,"LC",0,0,0
"341","SKr7",326.5408,0.5948,0,"LC",0,0,0
"342","SKr8",50.506,0.0472,0,"LC",0,0,0
"343","SKr9",3.2648,0,0,"LC",0,0,0
"344","SKs1",311.0264,197.0584,39,"LC",0,0,0
"345","SKs10",133.974,2.4276,2,"LC",0,0,0
"346","SKs11",285.5268,1.4848,1,"LC",0.675175498133176,0,0
"347","SKs12",445.3904,24.5252,5,"LC",1,0,0
"348","SKs13",113.4472,87.664,44,"LC",1,0,0
"349","SKs14",656.6528,182.316,22,"LC",0.657451862333856,0,0
"350","SKs2",524.7896,11.2656,2,"LC",0,0,0
"351","SKs3",302.592,28.798,9,"LC",0,0,0
"352","SKs4",441.4456,7.6212,2,"LC",0,0,0
"353","SKs5",565.6916,0.4152,0,"LC",0,0,0
"354","SKs6",122.776,0.5108,0,"LC",0,0,0
"355","SKs7",2636.3468,515.3636,16,"LC",0.331579068939837,0,0
"356","SKs8",727.244,140.818,16,"LC",0.00351126993233202,0,0
"357","SKs9",885.2096,32.2296,4,"LC",0.207760470666612,0,0
"358","SKt1",101.3124,0.4488,0,"LC",0.000444177151998994,0,0
"359","SKt2",7313.0824,319.49,4,"LC",0.00185022810920208,0,0
"360","SKt3",5222.6344,135.3384,3,"LC",0.00540674637243399,0,0
"361","SKv1",463.0176,77.7128,14,"LC",0.901653763132237,0,0
"362","SKv10",225.926,14.2528,6,"LC",1,0,0
"363","SKv11",1382.5056,195.95,12,"LC",1,0,0
"364","SKv13",2508.3936,46.7968,2,"LC",0.659500129618521,0,0
"365","SKv14",769.3408,24,3,"LC",0.000153780065263251,0,0
"366","SKv2",556.8128,2.5596,0,"LC",0.692132826002856,0,0
"367","SKv3",907.4112,21.17,2,"LC",0.757917132072026,0,0
"368","SKv4",1313.6524,4.7236,0,"LC",0.0958682500288233,0,0
"369","SKv5",6899.464,88.7468,1,"LC",0.512442526776668,0,0
"370","SKv6",4651.7492,62.7832,1,"LC",0.805334162089967,0,0
"371","SKv7",514.0788,139.31,21,"LC",1,0,0
"372","SKv8",3942.9516,165.9644,4,"LC",1,0,0
"373","SVcb1",5108.6948,1542.5504,23,"LC",0,0,0
"374","SVcb10",919.2336,522.8812,36,"LC",0,0,0
"375","SVcb11",2530.7056,754.8616,23,"LC",0,0,0.104190959783139
"376","SVcb12",11212.7996,6171.2356,35,"LC",0,0,0.106526222404336
"377","SVcb13",1980.2688,86.0816,4,"LC",0,0,0.61230331506215
"378","SVcb14",458.8908,301.012,40,"LC",0,0,0.145461235305357
"379","SVcb15",3088.2584,4109.9304,57,"EN",0,0,0.108874165679011
"380","SVcb16",9881.096,2196.8588,18,"LC",0,0,0
"381","SVcb17",8214.6652,686.4444,8,"LC",0,0,0
"382","SVcb18",5101.796,1394.628,21,"LC",0,0,0
"383","SVcb19",10665.6488,1356.0116,11,"LC",0,0,0
"384","SVcb2",1075.8124,31.6884,3,"LC",0,0,0
"385","SVcb20",6219.5264,3891.4252,38,"LC",0,0,0
"386","SVcb21",3044.5048,1103.2668,27,"LC",0,0,0
"387","SVcb22",0.5364,0.0716,12,"LC",0,0,0
"388","SVcb23",2519.5136,1925.7792,43,"LC",0,0,0
"389","SVcb24",596.7008,70.2472,11,"LC",0,0,0
"390","SVcb25",823.8424,67.5116,8,"LC",0,0,0.00330194288688894
"391","SVcb26",1756.3332,243.692,12,"LC",0,0,0.0901430641973911
"392","SVcb27",1209.7512,1313.0924,52,"EN",0,0,0
"393","SVcb28",1810.638,505.4784,22,"LC",0,0,0.0220049389572994
"394","SVcb29",373.5904,14.5744,4,"LC",0,0,0
"395","SVcb3",889.8316,442.1228,33,"LC",0,0,0
"396","SVcb4",3662.1356,460.1788,11,"LC",0,0,0
"397","SVcb5",359.7864,7.3276,2,"LC",0,0,0
"398","SVcb6",709.2788,1575.7828,69,"EN",0,0,0
"399","SVcb7",361.0544,130.3356,27,"LC",0,0,0
"400","SVcb8",843.144,990.2044,54,"EN",0,0,0
"401","SVcb9",2598.3688,506.0572,16,"LC",0,0,0.0123631228446096
"402","SVk1",12002.0948,3429.11,22,"LC",0,0,0
"403","SVk10",5539.6656,299.3744,5,"LC",0,0,0
"404","SVk11",13624.3188,272.7756,2,"LC",0,0,0
"405","SVk12",7252.7424,199.872,3,"LC",0,0,0
"406","SVk13",8409.256,108.426,1,"LC",0,0,0
"407","SVk14",880.8828,48.3396,5,"LC",0,0,0
"408","SVk15",1617.2516,3.624,0,"LC",0,0,0
"409","SVk16",7905.7928,12.822,0,"LC",0,0,0
"410","SVk17",3749.694,3483.1888,48,"LC",0,0,0
"411","SVk18",953.0268,46.5636,5,"LC",0,0,0
"412","SVk2",3227.4376,979.1416,23,"LC",0,0,0
"413","SVk3",576.2128,790.7108,58,"EN",0,0,0
"414","SVk4",12455.6436,4194.1464,25,"LC",0,0,0
"415","SVk5",1418.4072,39.4976,3,"LC",0,0,0
"416","SVk6",4220.5688,1093.3504,21,"LC",0,0,0
"417","SVk7",13112.6504,247.8956,2,"LC",0,0,0
"418","SVk8",3235.8176,127.736,4,"LC",0,0,0
"419","SVk9",5504.1196,275.3712,5,"LC",0,0,0
"420","SVkd1",37004.5808,62.23,0,"LC",0,0,0
"421","SVkd2",2239.4828,2.8596,0,"LC",0,0,0
"422","SVkd3",2898.1004,0.4872,0,"LC",0,0,0
"423","SVkd4",762.2668,0.2156,0,"LC",0,0,0
"424","SVl1",1579.8984,510.7748,24,"LC",0,0,0.0167586210986968
"425","SVl10",703.0424,239.7436,25,"LC",0,0,1
