"","lc90","lc22","biome","n","km2"
"1","1","1","<Null>",34300,13.72
"2","2","1","<Null>",0,0
"3","3","1","<Null>",0,0
"4","4","1","<Null>",0,0
"5","5","1","<Null>",0,0
"6","6","1","<Null>",0,0
"7","7","1","<Null>",0,0
"8","1","2","<Null>",333,0.1332
"9","2","2","<Null>",1176,0.4704
"10","3","2","<Null>",633,0.2532
"11","4","2","<Null>",144,0.0576
"12","5","2","<Null>",59,0.0236
"13","6","2","<Null>",0,0
"14","7","2","<Null>",73,0.0292
"15","1","3","<Null>",98,0.0392
"16","2","3","<Null>",1,4e-04
"17","3","3","<Null>",0,0
"18","4","3","<Null>",6,0.0024
"19","5","3","<Null>",0,0
"20","6","3","<Null>",0,0
"21","7","3","<Null>",0,0
"22","1","4","<Null>",407,0.1628
"23","2","4","<Null>",3,0.0012
"24","3","4","<Null>",63,0.0252
"25","4","4","<Null>",188,0.0752
"26","5","4","<Null>",0,0
"27","6","4","<Null>",0,0
"28","7","4","<Null>",0,0
"29","1","5","<Null>",188,0.0752
"30","2","5","<Null>",18,0.0072
"31","3","5","<Null>",0,0
"32","4","5","<Null>",0,0
"33","5","5","<Null>",148,0.0592
"34","6","5","<Null>",0,0
"35","7","5","<Null>",0,0
"36","1","6","<Null>",0,0
"37","2","6","<Null>",0,0
"38","3","6","<Null>",0,0
"39","4","6","<Null>",0,0
"40","5","6","<Null>",0,0
"41","6","6","<Null>",0,0
"42","7","6","<Null>",0,0
"43","1","7","<Null>",40,0.016
"44","2","7","<Null>",0,0
"45","3","7","<Null>",0,0
"46","4","7","<Null>",0,0
"47","5","7","<Null>",0,0
"48","6","7","<Null>",0,0
"49","7","7","<Null>",16,0.0064
"50","1","1","Albany Thicket",79148734,31659.4936
"51","2","1","Albany Thicket",20,0.008
"52","3","1","Albany Thicket",252,0.1008
"53","4","1","Albany Thicket",1,4e-04
"54","5","1","Albany Thicket",11,0.0044
"55","6","1","Albany Thicket",1,4e-04
"56","7","1","Albany Thicket",0,0
"57","1","2","Albany Thicket",362913,145.1652
"58","2","2","Albany Thicket",1225597,490.2388
"59","3","2","Albany Thicket",208769,83.5076
"60","4","2","Albany Thicket",144059,57.6236
"61","5","2","Albany Thicket",602590,241.036
"62","6","2","Albany Thicket",44635,17.854
"63","7","2","Albany Thicket",26365,10.546
"64","1","3","Albany Thicket",28764,11.5056
"65","2","3","Albany Thicket",378,0.1512
"66","3","3","Albany Thicket",135174,54.0696
"67","4","3","Albany Thicket",343,0.1372
"68","5","3","Albany Thicket",1095,0.438
"69","6","3","Albany Thicket",3756,1.5024
"70","7","3","Albany Thicket",44,0.0176
"71","1","4","Albany Thicket",474289,189.7156
"72","2","4","Albany Thicket",11041,4.4164
"73","3","4","Albany Thicket",2808,1.1232
"74","4","4","Albany Thicket",1028160,411.264
"75","5","4","Albany Thicket",34145,13.658
"76","6","4","Albany Thicket",981,0.3924
"77","7","4","Albany Thicket",2956,1.1824
"78","1","5","Albany Thicket",586020,234.408
"79","2","5","Albany Thicket",54580,21.832
"80","3","5","Albany Thicket",6866,2.7464
"81","4","5","Albany Thicket",12045,4.818
"82","5","5","Albany Thicket",3354321,1341.7284
"83","6","5","Albany Thicket",158,0.0632
"84","7","5","Albany Thicket",13365,5.346
"85","1","6","Albany Thicket",12397,4.9588
"86","2","6","Albany Thicket",77,0.0308
"87","3","6","Albany Thicket",97,0.0388
"88","4","6","Albany Thicket",1013,0.4052
"89","5","6","Albany Thicket",207,0.0828
"90","6","6","Albany Thicket",10110,4.044
"91","7","6","Albany Thicket",40,0.016
"92","1","7","Albany Thicket",62206,24.8824
"93","2","7","Albany Thicket",4054,1.6216
"94","3","7","Albany Thicket",720,0.288
"95","4","7","Albany Thicket",1568,0.6272
"96","5","7","Albany Thicket",13004,5.2016
"97","6","7","Albany Thicket",47,0.0188
"98","7","7","Albany Thicket",70836,28.3344
"99","1","1","Azonal Vegetation",49975150,19990.06
"100","2","1","Azonal Vegetation",105,0.042
"101","3","1","Azonal Vegetation",463,0.1852
"102","4","1","Azonal Vegetation",0,0
"103","5","1","Azonal Vegetation",55,0.022
"104","6","1","Azonal Vegetation",32,0.0128
"105","7","1","Azonal Vegetation",0,0
"106","1","2","Azonal Vegetation",595698,238.2792
"107","2","2","Azonal Vegetation",883437,353.3748
"108","3","2","Azonal Vegetation",353226,141.2904
"109","4","2","Azonal Vegetation",54914,21.9656
"110","5","2","Azonal Vegetation",859038,343.6152
"111","6","2","Azonal Vegetation",64322,25.7288
"112","7","2","Azonal Vegetation",56312,22.5248
"113","1","3","Azonal Vegetation",255199,102.0796
"114","2","3","Azonal Vegetation",7110,2.844
"115","3","3","Azonal Vegetation",778307,311.3228
"116","4","3","Azonal Vegetation",400,0.16
"117","5","3","Azonal Vegetation",32216,12.8864
"118","6","3","Azonal Vegetation",17469,6.9876
"119","7","3","Azonal Vegetation",372,0.1488
"120","1","4","Azonal Vegetation",243277,97.3108
"121","2","4","Azonal Vegetation",5646,2.2584
