"","lc90","lc22","biome","n","km2"
"122","3","4","Azonal Vegetation",2135,0.854
"123","4","4","Azonal Vegetation",280689,112.2756
"124","5","4","Azonal Vegetation",37745,15.098
"125","6","4","Azonal Vegetation",1210,0.484
"126","7","4","Azonal Vegetation",13041,5.2164
"127","1","5","Azonal Vegetation",957163,382.8652
"128","2","5","Azonal Vegetation",80301,32.1204
"129","3","5","Azonal Vegetation",14564,5.8256
"130","4","5","Azonal Vegetation",11233,4.4932
"131","5","5","Azonal Vegetation",6028182,2411.2728
"132","6","5","Azonal Vegetation",812,0.3248
"133","7","5","Azonal Vegetation",17501,7.0004
"134","1","6","Azonal Vegetation",29873,11.9492
"135","2","6","Azonal Vegetation",629,0.2516
"136","3","6","Azonal Vegetation",853,0.3412
"137","4","6","Azonal Vegetation",632,0.2528
"138","5","6","Azonal Vegetation",2173,0.8692
"139","6","6","Azonal Vegetation",63225,25.29
"140","7","6","Azonal Vegetation",54,0.0216
"141","1","7","Azonal Vegetation",94163,37.6652
"142","2","7","Azonal Vegetation",4716,1.8864
"143","3","7","Azonal Vegetation",3290,1.316
"144","4","7","Azonal Vegetation",2243,0.8972
"145","5","7","Azonal Vegetation",14383,5.7532
"146","6","7","Azonal Vegetation",111,0.0444
"147","7","7","Azonal Vegetation",78838,31.5352
"148","1","1","Desert",15328991,6131.5964
"149","2","1","Desert",0,0
"150","3","1","Desert",0,0
"151","4","1","Desert",0,0
"152","5","1","Desert",0,0
"153","6","1","Desert",1,4e-04
"154","7","1","Desert",0,0
"155","1","2","Desert",20351,8.1404
"156","2","2","Desert",4206,1.6824
"157","3","2","Desert",493,0.1972
"158","4","2","Desert",1545,0.618
"159","5","2","Desert",9607,3.8428
"160","6","2","Desert",14530,5.812
"161","7","2","Desert",1338,0.5352
"162","1","3","Desert",887,0.3548
"163","2","3","Desert",0,0
"164","3","3","Desert",99,0.0396
"165","4","3","Desert",0,0
"166","5","3","Desert",1,4e-04
"167","6","3","Desert",354,0.1416
"168","7","3","Desert",0,0
"169","1","4","Desert",32967,13.1868
"170","2","4","Desert",49,0.0196
"171","3","4","Desert",8,0.0032
"172","4","4","Desert",9657,3.8628
"173","5","4","Desert",1318,0.5272
"174","6","4","Desert",210,0.084
"175","7","4","Desert",22,0.0088
"176","1","5","Desert",9032,3.6128
"177","2","5","Desert",62,0.0248
"178","3","5","Desert",69,0.0276
"179","4","5","Desert",0,0
"180","5","5","Desert",7951,3.1804
"181","6","5","Desert",21,0.0084
"182","7","5","Desert",21,0.0084
"183","1","6","Desert",60312,24.1248
"184","2","6","Desert",13,0.0052
"185","3","6","Desert",1395,0.558
"186","4","6","Desert",62,0.0248
"187","5","6","Desert",229,0.0916
"188","6","6","Desert",150021,60.0084
"189","7","6","Desert",1,4e-04
"190","1","7","Desert",242,0.0968
"191","2","7","Desert",0,0
"192","3","7","Desert",0,0
"193","4","7","Desert",0,0
"194","5","7","Desert",13,0.0052
"195","6","7","Desert",0,0
"196","7","7","Desert",0,0
"197","1","1","Forests",9732364,3892.9456
"198","2","1","Forests",0,0
"199","3","1","Forests",0,0
"200","4","1","Forests",0,0
"201","5","1","Forests",0,0
"202","6","1","Forests",0,0
"203","7","1","Forests",0,0
"204","1","2","Forests",149920,59.968
"205","2","2","Forests",305682,122.2728
"206","3","2","Forests",1978,0.7912
"207","4","2","Forests",119649,47.8596
"208","5","2","Forests",40410,16.164
"209","6","2","Forests",1277,0.5108
"210","7","2","Forests",1078031,431.2124
"211","1","3","Forests",3180,1.272
"212","2","3","Forests",147,0.0588
"213","3","3","Forests",271,0.1084
"214","4","3","Forests",15,0.006
"215","5","3","Forests",320,0.128
"216","6","3","Forests",0,0
"217","7","3","Forests",1118,0.4472
"218","1","4","Forests",20082,8.0328
"219","2","4","Forests",1148,0.4592
"220","3","4","Forests",21,0.0084
"221","4","4","Forests",54550,21.82
"222","5","4","Forests",518,0.2072
"223","6","4","Forests",15,0.006
"224","7","4","Forests",1325,0.53
"225","1","5","Forests",69085,27.634
"226","2","5","Forests",10900,4.36
"227","3","5","Forests",163,0.0652
"228","4","5","Forests",1849,0.7396
"229","5","5","Forests",121940,48.776
"230","6","5","Forests",0,0
"231","7","5","Forests",2300,0.92
"232","1","6","Forests",13039,5.2156
"233","2","6","Forests",15,0.006
"234","3","6","Forests",0,0
"235","4","6","Forests",61,0.0244
"236","5","6","Forests",2,8e-04
"237","6","6","Forests",59,0.0236
"238","7","6","Forests",8647,3.4588
"239","1","7","Forests",14350,5.74
"240","2","7","Forests",400,0.16
"241","3","7","Forests",62,0.0248
"242","4","7","Forests",1192,0.4768
"243","5","7","Forests",235,0.094
"244","6","7","Forests",22,0.0088
"245","7","7","Forests",57977,23.1908
"246","1","1","Fynbos",136959918,54783.9672
"247","2","1","Fynbos",344,0.1376
"248","3","1","Fynbos",116,0.0464
"249","4","1","Fynbos",0,0
"250","5","1","Fynbos",593,0.2372
"251","6","1","Fynbos",14,0.0056
"252","7","1","Fynbos",5,0.002
"253","1","2","Fynbos",2372617,949.0468
"254","2","2","Fynbos",4710509,1884.2036
"255","3","2","Fynbos",514720,205.888
"256","4","2","Fynbos",157483,62.9932
"257","5","2","Fynbos",5257719,2103.0876
"258","6","2","Fynbos",34852,13.9408
"259","7","2","Fynbos",957160,382.864
"260","1","3","Fynbos",84042,33.6168
"261","2","3","Fynbos",12973,5.1892
"262","3","3","Fynbos",564413,225.7652
"263","4","3","Fynbos",925,0.37
"264","5","3","Fynbos",11775,4.71
"265","6","3","Fynbos",1962,0.7848
"266","7","3","Fynbos",11116,4.4464
"267","1","4","Fynbos",1290459,516.1836
"268","2","4","Fynbos",178642,71.4568
"269","3","4","Fynbos",25891,10.3564
"270","4","4","Fynbos",2505536,1002.2144
"271","5","4","Fynbos",216504,86.6016
"272","6","4","Fynbos",3661,1.4644
"273","7","4","Fynbos",72062,28.8248
"274","1","5","Fynbos",4397480,1758.992
"275","2","5","Fynbos",1044516,417.8064
"276","3","5","Fynbos",49405,19.762
"277","4","5","Fynbos",68561,27.4244
"278","5","5","Fynbos",40139554,16055.8216
"279","6","5","Fynbos",1514,0.6056
"280","7","5","Fynbos",124560,49.824
"281","1","6","Fynbos",67445,26.978
"282","2","6","Fynbos",10549,4.2196
"283","3","6","Fynbos",2348,0.9392
"284","4","6","Fynbos",1099,0.4396
"285","5","6","Fynbos",12233,4.8932
"286","6","6","Fynbos",34031,13.6124
"287","7","6","Fynbos",806,0.3224
"288","1","7","Fynbos",434434,173.7736
"289","2","7","Fynbos",98710,39.484
"290","3","7","Fynbos",8347,3.3388
"291","4","7","Fynbos",6427,2.5708
"292","5","7","Fynbos",61945,24.778
"293","6","7","Fynbos",234,0.0936
"294","7","7","Fynbos",2288960,915.584
"295","1","1","Grassland",483657599,193463.0396
"296","2","1","Grassland",14559,5.8236
"297","3","1","Grassland",8634,3.4536
"298","4","1","Grassland",1255,0.502
"299","5","1","Grassland",9666,3.8664
"300","6","1","Grassland",2697,1.0788
"301","7","1","Grassland",684,0.2736
"302","1","2","Grassland",12903244,5161.2976
"303","2","2","Grassland",32733066,13093.2264
"304","3","2","Grassland",1927132,770.8528
"305","4","2","Grassland",1927613,771.0452
"306","5","2","Grassland",17689142,7075.6568
"307","6","2","Grassland",1737214,694.8856
"308","7","2","Grassland",4320149,1728.0596
"309","1","3","Grassland",1091594,436.6376
"310","2","3","Grassland",127294,50.9176
"311","3","3","Grassland",4495159,1798.0636
"312","4","3","Grassland",10151,4.0604
"313","5","3","Grassland",169869,67.9476
"314","6","3","Grassland",109900,43.96
"315","7","3","Grassland",11843,4.7372
"316","1","4","Grassland",6468450,2587.38
"317","2","4","Grassland",953643,381.4572
"318","3","4","Grassland",31708,12.6832
"319","4","4","Grassland",24600440,9840.176
"320","5","4","Grassland",1092325,436.93
"321","6","4","Grassland",36915,14.766
"322","7","4","Grassland",646206,258.4824
"323","1","5","Grassland",13391009,5356.4036
"324","2","5","Grassland",5024839,2009.9356
"325","3","5","Grassland",58993,23.5972
"326","4","5","Grassland",535603,214.2412
"327","5","5","Grassland",176763302,70705.3208
"328","6","5","Grassland",29542,11.8168
"329","7","5","Grassland",449580,179.832
"330","1","6","Grassland",658708,263.4832
"331","2","6","Grassland",159301,63.7204
"332","3","6","Grassland",25639,10.2556
"333","4","6","Grassland",76884,30.7536
"334","5","6","Grassland",652690,261.076
"335","6","6","Grassland",763766,305.5064
"336","7","6","Grassland",77560,31.024
"337","1","7","Grassland",10349238,4139.6952
"338","2","7","Grassland",1617746,647.0984
"339","3","7","Grassland",67685,27.074
"340","4","7","Grassland",96968,38.7872
"341","5","7","Grassland",823238,329.2952
"342","6","7","Grassland",64805,25.922
"343","7","7","Grassland",26288608,10515.4432
"344","1","1","Indian Ocean Coastal Belt",9643535,3857.414
"345","2","1","Indian Ocean Coastal Belt",32,0.0128
"346","3","1","Indian Ocean Coastal Belt",0,0
"347","4","1","Indian Ocean Coastal Belt",3,0.0012
"348","5","1","Indian Ocean Coastal Belt",33,0.0132
"349","6","1","Indian Ocean Coastal Belt",19,0.0076
"350","7","1","Indian Ocean Coastal Belt",0,0
"351","1","2","Indian Ocean Coastal Belt",812016,324.8064
"352","2","2","Indian Ocean Coastal Belt",1835082,734.0328
"353","3","2","Indian Ocean Coastal Belt",18181,7.2724
"354","4","2","Indian Ocean Coastal Belt",374122,149.6488
"355","5","2","Indian Ocean Coastal Belt",406730,162.692
"356","6","2","Indian Ocean Coastal Belt",4191,1.6764
"357","7","2","Indian Ocean Coastal Belt",562162,224.8648
"358","1","3","Indian Ocean Coastal Belt",13716,5.4864
"359","2","3","Indian Ocean Coastal Belt",941,0.3764
"360","3","3","Indian Ocean Coastal Belt",15809,6.3236
"361","4","3","Indian Ocean Coastal Belt",513,0.2052
"362","5","3","Indian Ocean Coastal Belt",2432,0.9728
"363","6","3","Indian Ocean Coastal Belt",614,0.2456
"364","7","3","Indian Ocean Coastal Belt",2408,0.9632
"365","1","4","Indian Ocean Coastal Belt",681336,272.5344
"366","2","4","Indian Ocean Coastal Belt",99673,39.8692
"367","3","4","Indian Ocean Coastal Belt",2979,1.1916
"368","4","4","Indian Ocean Coastal Belt",5675161,2270.0644
"369","5","4","Indian Ocean Coastal Belt",103759,41.5036
"370","6","4","Indian Ocean Coastal Belt",607,0.2428
"371","7","4","Indian Ocean Coastal Belt",159343,63.7372
"372","1","5","Indian Ocean Coastal Belt",515432,206.1728
"373","2","5","Indian Ocean Coastal Belt",101754,40.7016
"374","3","5","Indian Ocean Coastal Belt",3165,1.266
"375","4","5","Indian Ocean Coastal Belt",89769,35.9076
"376","5","5","Indian Ocean Coastal Belt",4619936,1847.9744
"377","6","5","Indian Ocean Coastal Belt",46,0.0184
"378","7","5","Indian Ocean Coastal Belt",50298,20.1192
"379","1","6","Indian Ocean Coastal Belt",16598,6.6392
"380","2","6","Indian Ocean Coastal Belt",4690,1.876
"381","3","6","Indian Ocean Coastal Belt",51,0.0204
"382","4","6","Indian Ocean Coastal Belt",3877,1.5508
"383","5","6","Indian Ocean Coastal Belt",8683,3.4732
"384","6","6","Indian Ocean Coastal Belt",7862,3.1448
"385","7","6","Indian Ocean Coastal Belt",14616,5.8464
"386","1","7","Indian Ocean Coastal Belt",527556,211.0224
"387","2","7","Indian Ocean Coastal Belt",79141,31.6564
"388","3","7","Indian Ocean Coastal Belt",471,0.1884
"389","4","7","Indian Ocean Coastal Belt",95326,38.1304
"390","5","7","Indian Ocean Coastal Belt",46573,18.6292
"391","6","7","Indian Ocean Coastal Belt",4705,1.882
"392","7","7","Indian Ocean Coastal Belt",2621204,1048.4816
"393","1","1","Nama-Karoo",609892249,243956.8996
"394","2","1","Nama-Karoo",253,0.1012
"395","3","1","Nama-Karoo",4089,1.6356
"396","4","1","Nama-Karoo",3,0.0012
"397","5","1","Nama-Karoo",85,0.034
"398","6","1","Nama-Karoo",4,0.0016
"399","7","1","Nama-Karoo",1,4e-04
"400","1","2","Nama-Karoo",878830,351.532
"401","2","2","Nama-Karoo",1966153,786.4612
"402","3","2","Nama-Karoo",900389,360.1556
"403","4","2","Nama-Karoo",48635,19.454
"404","5","2","Nama-Karoo",841865,336.746
"405","6","2","Nama-Karoo",231269,92.5076
"406","7","2","Nama-Karoo",13116,5.2464
"407","1","3","Nama-Karoo",250308,100.1232
"408","2","3","Nama-Karoo",9215,3.686
"409","3","3","Nama-Karoo",955283,382.1132
"410","4","3","Nama-Karoo",284,0.1136
"411","5","3","Nama-Karoo",6110,2.444
"412","6","3","Nama-Karoo",14337,5.7348
"413","7","3","Nama-Karoo",94,0.0376
"414","1","4","Nama-Karoo",1080488,432.1952
"415","2","4","Nama-Karoo",3047,1.2188
"416","3","4","Nama-Karoo",2258,0.9032
"417","4","4","Nama-Karoo",330009,132.0036
"418","5","4","Nama-Karoo",12967,5.1868
"419","6","4","Nama-Karoo",2860,1.144
"420","7","4","Nama-Karoo",2336,0.9344
"421","1","5","Nama-Karoo",1417569,567.0276
"422","2","5","Nama-Karoo",99939,39.9756
"423","3","5","Nama-Karoo",15297,6.1188
"424","4","5","Nama-Karoo",12564,5.0256
"425","5","5","Nama-Karoo",3988822,1595.5288
"426","6","5","Nama-Karoo",1299,0.5196
"427","7","5","Nama-Karoo",2849,1.1396
"428","1","6","Nama-Karoo",136047,54.4188
"429","2","6","Nama-Karoo",143,0.0572
"430","3","6","Nama-Karoo",1233,0.4932
"431","4","6","Nama-Karoo",725,0.29
"432","5","6","Nama-Karoo",7281,2.9124
"433","6","6","Nama-Karoo",142454,56.9816
"434","7","6","Nama-Karoo",79,0.0316
"435","1","7","Nama-Karoo",81281,32.5124
"436","2","7","Nama-Karoo",4568,1.8272
"437","3","7","Nama-Karoo",2455,0.982
"438","4","7","Nama-Karoo",878,0.3512
"439","5","7","Nama-Karoo",7814,3.1256
"440","6","7","Nama-Karoo",46,0.0184
"441","7","7","Nama-Karoo",16680,6.672
"442","1","1","Savanna",785306726,314122.6904
"443","2","1","Savanna",8689,3.4756
"444","3","1","Savanna",2122,0.8488
"445","4","1","Savanna",2028,0.8112
"446","5","1","Savanna",9109,3.6436
"447","6","1","Savanna",3173,1.2692
"448","7","1","Savanna",128,0.0512
"449","1","2","Savanna",9707722,3883.0888
"450","2","2","Savanna",29638545,11855.418
"451","3","2","Savanna",969953,387.9812
"452","4","2","Savanna",2448070,979.228
"453","5","2","Savanna",20966056,8386.4224
"454","6","2","Savanna",1494573,597.8292
"455","7","2","Savanna",1310697,524.2788
"456","1","3","Savanna",561585,224.634
"457","2","3","Savanna",45236,18.0944
"458","3","3","Savanna",1487454,594.9816
"459","4","3","Savanna",4579,1.8316
"460","5","3","Savanna",72204,28.8816
"461","6","3","Savanna",58249,23.2996
"462","7","3","Savanna",14719,5.8876
"463","1","4","Savanna",9218694,3687.4776
"464","2","4","Savanna",1404598,561.8392
"465","3","4","Savanna",22755,9.102
"466","4","4","Savanna",26814282,10725.7128
"467","5","4","Savanna",1161312,464.5248
"468","6","4","Savanna",42155,16.862
"469","7","4","Savanna",213064,85.2256
"470","1","5","Savanna",12358301,4943.3204
"471","2","5","Savanna",3152658,1261.0632
"472","3","5","Savanna",32740,13.096
"473","4","5","Savanna",395714,158.2856
"474","5","5","Savanna",62628765,25051.506
"475","6","5","Savanna",13357,5.3428
"476","7","5","Savanna",257290,102.916
"477","1","6","Savanna",856734,342.6936
"478","2","6","Savanna",74363,29.7452
"479","3","6","Savanna",10733,4.2932
"480","4","6","Savanna",47767,19.1068
"481","5","6","Savanna",155250,62.1
"482","6","6","Savanna",862036,344.8144
"483","7","6","Savanna",1728,0.6912
"484","1","7","Savanna",1456094,582.4376
"485","2","7","Savanna",187868,75.1472
"486","3","7","Savanna",14607,5.8428
"487","4","7","Savanna",24211,9.6844
"488","5","7","Savanna",194730,77.892
"489","6","7","Savanna",12087,4.8348
"490","7","7","Savanna",5907767,2363.1068
"491","1","1","Succulent Karoo",185479095,74191.638
"492","2","1","Succulent Karoo",96,0.0384
"493","3","1","Succulent Karoo",215,0.086
"494","4","1","Succulent Karoo",3,0.0012
"495","5","1","Succulent Karoo",257,0.1028
"496","6","1","Succulent Karoo",30,0.012
"497","7","1","Succulent Karoo",0,0
"498","1","2","Succulent Karoo",585031,234.0124
"499","2","2","Succulent Karoo",2106252,842.5008
"500","3","2","Succulent Karoo",193118,77.2472
"501","4","2","Succulent Karoo",18200,7.28
"502","5","2","Succulent Karoo",785828,314.3312
"503","6","2","Succulent Karoo",192144,76.8576
"504","7","2","Succulent Karoo",2586,1.0344
"505","1","3","Succulent Karoo",27345,10.938
"506","2","3","Succulent Karoo",1167,0.4668
"507","3","3","Succulent Karoo",111603,44.6412
"508","4","3","Succulent Karoo",86,0.0344
"509","5","3","Succulent Karoo",1306,0.5224
"510","6","3","Succulent Karoo",2208,0.8832
"511","7","3","Succulent Karoo",14,0.0056
"512","1","4","Succulent Karoo",386996,154.7984
"513","2","4","Succulent Karoo",5798,2.3192
"514","3","4","Succulent Karoo",1680,0.672
"515","4","4","Succulent Karoo",193982,77.5928
"516","5","4","Succulent Karoo",20473,8.1892
"517","6","4","Succulent Karoo",1528,0.6112
"518","7","4","Succulent Karoo",2136,0.8544
"519","1","5","Succulent Karoo",488660,195.464
"520","2","5","Succulent Karoo",64473,25.7892
"521","3","5","Succulent Karoo",6237,2.4948
"522","4","5","Succulent Karoo",2141,0.8564
"523","5","5","Succulent Karoo",3738570,1495.428
"524","6","5","Succulent Karoo",129,0.0516
"525","7","5","Succulent Karoo",538,0.2152
"526","1","6","Succulent Karoo",296345,118.538
"527","2","6","Succulent Karoo",381,0.1524
"528","3","6","Succulent Karoo",1393,0.5572
"529","4","6","Succulent Karoo",1070,0.428
"530","5","6","Succulent Karoo",11154,4.4616
"531","6","6","Succulent Karoo",774408,309.7632
"532","7","6","Succulent Karoo",0,0
"533","1","7","Succulent Karoo",10816,4.3264
"534","2","7","Succulent Karoo",566,0.2264
"535","3","7","Succulent Karoo",227,0.0908
"536","4","7","Succulent Karoo",11,0.0044
"537","5","7","Succulent Karoo",1731,0.6924
"538","6","7","Succulent Karoo",0,0
"539","7","7","Succulent Karoo",2497,0.9988
