"","nlc2022_7class","T_MAPCODE","coct_cond10","n"
"1","1","AT15","1",0
"2","2","AT15","1",0
"3","3","AT15","1",0
"4","4","AT15","1",0
"5","5","AT15","1",0
"6","6","AT15","1",0
"7","7","AT15","1",0
"8","1","AT16","1",0
"9","2","AT16","1",0
"10","3","AT16","1",0
"11","4","AT16","1",0
"12","5","AT16","1",0
"13","6","AT16","1",0
"14","7","AT16","1",0
"15","1","AT17","1",0
"16","2","AT17","1",0
"17","3","AT17","1",0
"18","4","AT17","1",0
"19","5","AT17","1",0
"20","6","AT17","1",0
"21","7","AT17","1",0
"22","1","AT18","1",0
"23","2","AT18","1",0
"24","3","AT18","1",0
"25","4","AT18","1",0
"26","5","AT18","1",0
"27","6","AT18","1",0
"28","7","AT18","1",0
"29","1","AT19","1",0
"30","2","AT19","1",0
"31","3","AT19","1",0
"32","4","AT19","1",0
"33","5","AT19","1",0
"34","6","AT19","1",0
"35","7","AT19","1",0
"36","1","AT20","1",0
"37","2","AT20","1",0
"38","3","AT20","1",0
"39","4","AT20","1",0
