"","nlc2022_7class","T_MAPCODE","coct_cond10","n"
"12439","7","SVcb11","8",0
"12440","1","SVcb12","8",0
"12441","2","SVcb12","8",0
"12442","3","SVcb12","8",0
"12443","4","SVcb12","8",0
"12444","5","SVcb12","8",0
"12445","6","SVcb12","8",0
"12446","7","SVcb12","8",0
"12447","1","SVcb13","8",0
"12448","2","SVcb13","8",0
"12449","3","SVcb13","8",0
"12450","4","SVcb13","8",0
"12451","5","SVcb13","8",0
"12452","6","SVcb13","8",0
"12453","7","SVcb13","8",0
"12454","1","SVcb14","8",0
"12455","2","SVcb14","8",0
"12456","3","SVcb14","8",0
"12457","4","SVcb14","8",0
"12458","5","SVcb14","8",0
"12459","6","SVcb14","8",0
"12460","7","SVcb14","8",0
"12461","1","SVcb15","8",0
"12462","2","SVcb15","8",0
"12463","3","SVcb15","8",0
"12464","4","SVcb15","8",0
"12465","5","SVcb15","8",0
"12466","6","SVcb15","8",0
"12467","7","SVcb15","8",0
"12468","1","SVcb16","8",0
"12469","2","SVcb16","8",0
"12470","3","SVcb16","8",0
"12471","4","SVcb16","8",0
"12472","5","SVcb16","8",0
"12473","6","SVcb16","8",0
"12474","7","SVcb16","8",0
"12475","1","SVcb17","8",0
"12476","2","SVcb17","8",0
"12477","3","SVcb17","8",0
"12478","4","SVcb17","8",0
"12479","5","SVcb17","8",0
"12480","6","SVcb17","8",0
"12481","7","SVcb17","8",0
"12482","1","SVcb18","8",0
"12483","2","SVcb18","8",0
"12484","3","SVcb18","8",0
"12485","4","SVcb18","8",0
"12486","5","SVcb18","8",0
"12487","6","SVcb18","8",0
"12488","7","SVcb18","8",0
"12489","1","SVcb19","8",0
"12490","2","SVcb19","8",0
"12491","3","SVcb19","8",0
"12492","4","SVcb19","8",0
"12493","5","SVcb19","8",0
"12494","6","SVcb19","8",0
"12495","7","SVcb19","8",0
"12496","1","SVcb2","8",0
"12497","2","SVcb2","8",0
"12498","3","SVcb2","8",0
"12499","4","SVcb2","8",0
"12500","5","SVcb2","8",0
"12501","6","SVcb2","8",0
"12502","7","SVcb2","8",0
"12503","1","SVcb20","8",0
"12504","2","SVcb20","8",0
"12505","3","SVcb20","8",0
"12506","4","SVcb20","8",0
"12507","5","SVcb20","8",0
"12508","6","SVcb20","8",0
"12509","7","SVcb20","8",0
"12510","1","SVcb21","8",0
"12511","2","SVcb21","8",0
"12512","3","SVcb21","8",0
"12513","4","SVcb21","8",0
"12514","5","SVcb21","8",0
"12515","6","SVcb21","8",0
"12516","7","SVcb21","8",0
"12517","1","SVcb22","8",0
"12518","2","SVcb22","8",0
"12519","3","SVcb22","8",0
"12520","4","SVcb22","8",0
"12521","5","SVcb22","8",0
"12522","6","SVcb22","8",0
"12523","7","SVcb22","8",0
