"","nlc2022_7class","T_MAPCODE","step_deg2","n"
"232","1","AT48","0",29187
"233","2","AT48","0",1884
"234","3","AT48","0",9
"235","4","AT48","0",14644
"236","5","AT48","0",5165
"237","6","AT48","0",0
"238","7","AT48","0",0
"239","1","AT49","0",3885346
"240","2","AT49","0",84990
"241","3","AT49","0",52897
"242","4","AT49","0",27192
"243","5","AT49","0",74761
"244","6","AT49","0",456
"245","7","AT49","0",360
"246","1","AT50","0",1220145
"247","2","AT50","0",46243
"248","3","AT50","0",1608
"249","4","AT50","0",44612
"250","5","AT50","0",60983
"251","6","AT50","0",214
"252","7","AT50","0",545
"253","1","AT51","0",3239286
"254","2","AT51","0",98280
"255","3","AT51","0",6918
"256","4","AT51","0",175442
"257","5","AT51","0",364407
"258","6","AT51","0",4945
"259","7","AT51","0",5828
"260","1","AT52","0",75448
"261","2","AT52","0",10542
"262","3","AT52","0",0
"263","4","AT52","0",65
"264","5","AT52","0",22941
"265","6","AT52","0",0
"266","7","AT52","0",0
"267","1","AT53","0",41363
"268","2","AT53","0",5053
"269","3","AT53","0",21
"270","4","AT53","0",14623
"271","5","AT53","0",1433
"272","6","AT53","0",0
"273","7","AT53","0",5282
"274","1","AT54","0",462260
"275","2","AT54","0",2547
"276","3","AT54","0",834
"277","4","AT54","0",97
"278","5","AT54","0",3619
"279","6","AT54","0",0
"280","7","AT54","0",6
"281","1","AT55","0",1854403
"282","2","AT55","0",21853
"283","3","AT55","0",1282
"284","4","AT55","0",5090
"285","5","AT55","0",18046
"286","6","AT55","0",243
"287","7","AT55","0",57
"288","1","AT56","0",1146282
"289","2","AT56","0",156874
"290","3","AT56","0",1350
"291","4","AT56","0",161107
"292","5","AT56","0",226901
"293","6","AT56","0",1967
"294","7","AT56","0",28822
"295","1","AT57","0",256902
"296","2","AT57","0",23103
"297","3","AT57","0",6180
"298","4","AT57","0",29487
"299","5","AT57","0",18543
"300","6","AT57","0",659
"301","7","AT57","0",458
"302","1","AT58","0",5548373
"303","2","AT58","0",32270
"304","3","AT58","0",6344
"305","4","AT58","0",14022
"306","5","AT58","0",24393
"307","6","AT58","0",204
"308","7","AT58","0",59
"309","1","AZa1","0",0
"310","2","AZa1","0",0
"311","3","AZa1","0",0
"312","4","AZa1","0",0
"313","5","AZa1","0",0
"314","6","AZa1","0",0
"315","7","AZa1","0",0
"316","1","AZa2","0",65421
"317","2","AZa2","0",25508
"318","3","AZa2","0",249
"319","4","AZa2","0",4484
"320","5","AZa2","0",130339
"321","6","AZa2","0",1
"322","7","AZa2","0",859
"323","1","AZa3","0",0
"324","2","AZa3","0",0
"325","3","AZa3","0",0
"326","4","AZa3","0",0
"327","5","AZa3","0",0
"328","6","AZa3","0",0
"329","7","AZa3","0",0
"330","1","AZa4","0",0
"331","2","AZa4","0",0
"332","3","AZa4","0",0
"333","4","AZa4","0",0
"334","5","AZa4","0",0
"335","6","AZa4","0",0
"336","7","AZa4","0",0
"337","1","AZa5","0",0
"338","2","AZa5","0",0
"339","3","AZa5","0",0
"340","4","AZa5","0",0
"341","5","AZa5","0",0
"342","6","AZa5","0",0
"343","7","AZa5","0",0
"344","1","AZa6","0",707725
"345","2","AZa6","0",124835
"346","3","AZa6","0",17191
"347","4","AZa6","0",118689
"348","5","AZa6","0",626801
"349","6","AZa6","0",1470
"350","7","AZa6","0",29450
"351","1","AZa7","0",0
"352","2","AZa7","0",0
"353","3","AZa7","0",0
"354","4","AZa7","0",0
"355","5","AZa7","0",0
"356","6","AZa7","0",0
"357","7","AZa7","0",0
"358","1","AZd1","0",0
"359","2","AZd1","0",0
"360","3","AZd1","0",0
"361","4","AZd1","0",0
"362","5","AZd1","0",0
"363","6","AZd1","0",0
"364","7","AZd1","0",0
"365","1","AZd2","0",0
"366","2","AZd2","0",0
"367","3","AZd2","0",0
"368","4","AZd2","0",0
"369","5","AZd2","0",0
"370","6","AZd2","0",0
"371","7","AZd2","0",0
"372","1","AZd3","0",402034
"373","2","AZd3","0",4443
"374","3","AZd3","0",308
"375","4","AZd3","0",3631
"376","5","AZd3","0",0
"377","6","AZd3","0",2
"378","7","AZd3","0",11
"379","1","AZd4","0",2322
"380","2","AZd4","0",176
"381","3","AZd4","0",0
"382","4","AZd4","0",94
"383","5","AZd4","0",0
"384","6","AZd4","0",0
"385","7","AZd4","0",0
"386","1","AZi1","0",0
"387","2","AZi1","0",0
"388","3","AZi1","0",0
"389","4","AZi1","0",0
"390","5","AZi1","0",0
"391","6","AZi1","0",0
"392","7","AZi1","0",0
"393","1","AZi3","0",0
"394","2","AZi3","0",0
"395","3","AZi3","0",0
"396","4","AZi3","0",0
"397","5","AZi3","0",0
"398","6","AZi3","0",0
"399","7","AZi3","0",0
"400","1","AZi5","0",0
"401","2","AZi5","0",0
"402","3","AZi5","0",0
"403","4","AZi5","0",0
"404","5","AZi5","0",0
"405","6","AZi5","0",0
"406","7","AZi5","0",0
"407","1","AZi6","0",3700423
"408","2","AZi6","0",382610
"409","3","AZi6","0",54333
"410","4","AZi6","0",80502
"411","5","AZi6","0",816725
"412","6","AZi6","0",1584
"413","7","AZi6","0",7596
"414","1","AZi7","0",0
"415","2","AZi7","0",0
"416","3","AZi7","0",0
"417","4","AZi7","0",0
"418","5","AZi7","0",0
"419","6","AZi7","0",0
"420","7","AZi7","0",0
"421","1","AZi8","0",302483
"422","2","AZi8","0",83500
"423","3","AZi8","0",3344
"424","4","AZi8","0",23652
"425","5","AZi8","0",466925
"426","6","AZi8","0",255
"427","7","AZi8","0",2089
"428","1","AZs3","0",0
"429","2","AZs3","0",0
"430","3","AZs3","0",0
"431","4","AZs3","0",0
"432","5","AZs3","0",0
"433","6","AZs3","0",0
"434","7","AZs3","0",0
"435","1","CB1","0",0
"436","2","CB1","0",0
"437","3","CB1","0",0
"438","4","CB1","0",0
"439","5","CB1","0",0
"440","6","CB1","0",0
"441","7","CB1","0",0
"442","1","CB2","0",0
"443","2","CB2","0",0
"444","3","CB2","0",0
"445","4","CB2","0",0
"446","5","CB2","0",0
"447","6","CB2","0",0
"448","7","CB2","0",0
"449","1","CB3","0",0
"450","2","CB3","0",0
"451","3","CB3","0",0
"452","4","CB3","0",0
"453","5","CB3","0",0
"454","6","CB3","0",0
"455","7","CB3","0",0
"456","1","CB4","0",0
"457","2","CB4","0",0
"458","3","CB4","0",0
"459","4","CB4","0",0
"460","5","CB4","0",0
"461","6","CB4","0",0
"462","7","CB4","0",0
"463","1","CB5","0",35263
"464","2","CB5","0",9731
"465","3","CB5","0",0
"466","4","CB5","0",9909
"467","5","CB5","0",15151
"468","6","CB5","0",0
"469","7","CB5","0",4382
"470","1","CB6","0",0
"471","2","CB6","0",0
"472","3","CB6","0",0
"473","4","CB6","0",0
"474","5","CB6","0",0
"475","6","CB6","0",0
"476","7","CB6","0",0
"477","1","Dg1","0",0
"478","2","Dg1","0",0
"479","3","Dg1","0",0
"480","4","Dg1","0",0
"481","5","Dg1","0",0
"482","6","Dg1","0",0
"483","7","Dg1","0",0
"484","1","Dg10","0",0
"485","2","Dg10","0",0
"486","3","Dg10","0",0
"487","4","Dg10","0",0
"488","5","Dg10","0",0
"489","6","Dg10","0",0
"490","7","Dg10","0",0
"491","1","Dg2","0",0
"492","2","Dg2","0",0
"493","3","Dg2","0",0
"494","4","Dg2","0",0
"495","5","Dg2","0",0
"496","6","Dg2","0",0
"497","7","Dg2","0",0
"498","1","Dg3","0",0
"499","2","Dg3","0",0
"500","3","Dg3","0",0
"501","4","Dg3","0",0
"502","5","Dg3","0",0
"503","6","Dg3","0",0
"504","7","Dg3","0",0
"505","1","Dg4","0",0
"506","2","Dg4","0",0
"507","3","Dg4","0",0
"508","4","Dg4","0",0
"509","5","Dg4","0",0
"510","6","Dg4","0",0
"511","7","Dg4","0",0
"512","1","Dg5","0",0
"513","2","Dg5","0",0
"514","3","Dg5","0",0
"515","4","Dg5","0",0
"516","5","Dg5","0",0
