"","nlc2022_7class","T_MAPCODE","littlekaroo_deg2","easternlittlekaroo_deg2","n"
"211","1","AT45","0","0",0
"212","2","AT45","0","0",0
"213","3","AT45","0","0",0
"214","4","AT45","0","0",0
"215","5","AT45","0","0",0
"216","6","AT45","0","0",0
"217","7","AT45","0","0",0
"218","1","AT46","0","0",0
"219","2","AT46","0","0",0
"220","3","AT46","0","0",0
"221","4","AT46","0","0",0
"222","5","AT46","0","0",0
"223","6","AT46","0","0",0
"224","7","AT46","0","0",0
"225","1","AT47","0","0",0
"226","2","AT47","0","0",0
"227","3","AT47","0","0",0
"228","4","AT47","0","0",0
"229","5","AT47","0","0",0
"230","6","AT47","0","0",0
"231","7","AT47","0","0",0
"232","1","AT48","0","0",0
"233","2","AT48","0","0",0
"234","3","AT48","0","0",0
"235","4","AT48","0","0",0
"236","5","AT48","0","0",0
"237","6","AT48","0","0",0
"238","7","AT48","0","0",0
"239","1","AT49","0","0",0
"240","2","AT49","0","0",0
"241","3","AT49","0","0",0
"242","4","AT49","0","0",0
"243","5","AT49","0","0",0
"244","6","AT49","0","0",0
"245","7","AT49","0","0",0
"246","1","AT50","0","0",0
"247","2","AT50","0","0",0
"248","3","AT50","0","0",0
"249","4","AT50","0","0",0
"250","5","AT50","0","0",0
"251","6","AT50","0","0",0
"252","7","AT50","0","0",0
"253","1","AT51","0","0",0
"254","2","AT51","0","0",0
"255","3","AT51","0","0",0
"256","4","AT51","0","0",0
"257","5","AT51","0","0",0
"258","6","AT51","0","0",0
"259","7","AT51","0","0",0
"260","1","AT52","0","0",0
"261","2","AT52","0","0",0
"262","3","AT52","0","0",0
"263","4","AT52","0","0",0
"264","5","AT52","0","0",0
"265","6","AT52","0","0",0
"266","7","AT52","0","0",0
"267","1","AT53","0","0",0
"268","2","AT53","0","0",0
"269","3","AT53","0","0",0
"270","4","AT53","0","0",0
"271","5","AT53","0","0",0
"272","6","AT53","0","0",0
"273","7","AT53","0","0",0
"274","1","AT54","0","0",0
"275","2","AT54","0","0",0
"276","3","AT54","0","0",0
"277","4","AT54","0","0",0
"278","5","AT54","0","0",0
"279","6","AT54","0","0",0
"280","7","AT54","0","0",0
"281","1","AT55","0","0",0
"282","2","AT55","0","0",0
"283","3","AT55","0","0",0
"284","4","AT55","0","0",0
"285","5","AT55","0","0",0
"286","6","AT55","0","0",0
"287","7","AT55","0","0",0
"288","1","AT56","0","0",0
"289","2","AT56","0","0",0
"290","3","AT56","0","0",0
"291","4","AT56","0","0",0
"292","5","AT56","0","0",0
"293","6","AT56","0","0",0
"294","7","AT56","0","0",0
"295","1","AT57","0","0",0
"296","2","AT57","0","0",0
"297","3","AT57","0","0",0
"298","4","AT57","0","0",0
"299","5","AT57","0","0",0
"300","6","AT57","0","0",0
"301","7","AT57","0","0",0
"302","1","AT58","0","0",0
"303","2","AT58","0","0",0
"304","3","AT58","0","0",0
"305","4","AT58","0","0",0
"306","5","AT58","0","0",0
"307","6","AT58","0","0",0
"308","7","AT58","0","0",0
